suburb,total,Toyota,Holden,Ford,Mazda,Volkswagen,Hyundai,Mitsubishi,Subaru,Nissan,Honda,Kia,Bmw,Mercedes,Audi,Suzuki,Volvo,Jeep,Lexus,Peugeot,Skoda,Land Rover,Renault,Isuzu,Porsche,Mini,Citroen,Fiat,Alfa Romeo
Jacka,319,86,27,27,34,12,32,19,9,18,16,10,7,1,5,8,0,3,1,0,0,1,1,0,0,1,0,1,0
Denman Prospect,299,59,22,13,21,18,17,16,16,21,20,9,14,14,10,2,2,9,5,0,2,2,4,1,0,0,0,1,1
Hall,265,59,33,30,16,13,7,14,11,13,10,8,7,8,6,4,7,4,1,1,0,3,0,4,3,1,1,1,0
Taylor,235,59,18,20,21,8,21,13,9,15,21,7,4,1,1,7,1,0,2,3,0,1,1,0,0,1,0,0,1
Fairbairn,172,42,16,18,1,1,4,5,2,2,1,2,2,41,1,0,3,0,0,0,1,0,1,29,0,0,0,0,0
Oaks Estate,200,46,26,28,7,14,9,7,12,10,9,2,5,5,1,3,2,0,3,2,2,2,0,2,1,1,0,1,0
Canberra Airport,164,64,3,12,3,1,14,17,8,1,5,27,0,3,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0
Tharwa,149,58,6,14,7,5,3,11,13,6,2,0,6,3,2,3,3,1,3,1,0,1,0,1,0,0,0,0,0
Uriarra,146,41,15,15,10,6,6,7,5,8,3,6,3,5,0,1,3,4,0,1,1,3,1,1,0,0,1,0,0
Swinger Hill,144,21,9,4,15,16,12,10,12,5,3,2,8,3,3,3,3,1,2,4,2,2,1,0,0,1,0,1,1
Beard,104,18,5,20,5,3,6,8,0,1,0,1,1,6,2,0,7,0,0,0,0,1,0,17,1,2,0,0,0
Majura,94,19,12,12,1,13,1,8,1,4,1,5,1,3,0,1,1,1,1,0,0,3,0,5,1,0,0,0,0
Wreck Bay,93,10,31,15,1,1,5,9,4,6,2,5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
Jervis Bay,81,20,13,10,6,2,2,7,5,1,1,1,0,2,0,1,3,4,0,0,0,1,0,1,1,0,0,0,0
Wallaroo Via Hall,45,16,4,3,5,3,0,3,0,3,0,1,2,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Uriarra Village,48,6,5,8,5,1,3,1,2,1,1,1,2,0,0,1,1,0,0,0,2,2,0,3,2,0,1,0,0
Capital Hill,11,6,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duntroon,41,15,4,2,2,0,2,2,4,1,1,0,0,0,0,1,0,1,0,1,1,0,0,4,0,0,0,0,0
Canberra City,36,6,3,2,3,4,0,2,3,1,3,0,3,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0
Stromlo,28,3,3,3,1,1,3,2,1,3,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Harman,20,3,2,2,0,3,0,4,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Williamsdale,17,4,2,5,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Queanbeyan,14,3,1,0,3,1,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Russell,12,1,0,1,1,0,0,2,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coree,12,6,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weston Creek,11,5,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Paddys River,10,3,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
