Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SSC by SSCF Same-Sex Couple Indicator"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"SSCF Same-Sex Couple Indicator","Male same-sex couple","Female same-sex couple","Opposite-sex couple","Not applicable","Total",
"Tarcutta",0,0,89,108,199,
"Taree",7,4,2992,4312,7319,
"Taree South",0,0,73,67,144,
"Taren Point",0,0,402,329,729,
"Tarlo",0,0,49,21,70,
"Tarraganda",0,0,86,47,139,
"Tarrawanna",4,0,462,385,848,
"Tarriaro",0,0,33,10,45,
"Tarro",0,0,365,373,737,
"Tascott",3,0,377,292,680,
"Tatham",0,0,50,38,91,
"Tathra",0,5,380,447,831,
"Tatton",0,0,586,302,892,
"Taylors Arm",0,0,34,32,69,
"Taylors Beach (NSW)",0,0,32,15,49,
"Taylors Flat",0,0,19,18,35,
"Tea Gardens",0,7,842,530,1375,
"Telarah",0,3,433,598,1038,
"Telegraph Point",0,0,143,105,251,
"Telopea",5,9,1140,1237,2379,
"Temagog",0,0,52,63,118,
"Temora",0,3,1018,1021,2042,
"Tempe",26,30,673,690,1424,
"Ten Mile Hollow",0,0,0,0,0,
"Tenambit",0,0,627,595,1220,
"Tenandra",0,0,16,16,33,
"Tennyson (NSW)",0,0,102,46,147,
"Tennyson Point",0,0,298,153,456,
"Tenterden (NSW)",0,0,9,4,14,
"Tenterfield",0,3,866,1083,1949,
"Teralba",0,0,297,374,679,
"Terania Creek",0,0,39,43,84,
"Terara",0,0,51,73,131,
"Teridgerie",0,0,15,12,21,
"Termeil",0,0,63,32,101,
"Terrabella",0,0,3,0,3,
"Terrace Creek",0,0,9,11,17,
"Terragon",0,0,17,13,33,
"Terramungamine",0,0,71,41,110,
"Terranora",0,0,737,296,1041,
"Terreel",0,0,6,0,3,
"Terrey Hills",0,4,723,304,1034,
"Terrigal",7,10,2646,2012,4671,
"Terry Hie Hie",0,0,17,21,33,
"Teven",0,0,70,35,107,
"Tewinga",0,0,19,14,37,
"Texas (NSW)",0,0,11,7,16,
"Thalgarrah",0,0,53,26,79,
"Tharbogang",0,0,111,77,183,
"The Angle",0,0,27,9,38,
"The Bight",0,0,18,8,29,
"The Branch",0,0,21,16,38,
"The Brothers",0,0,6,9,12,
"The Channon",3,0,75,80,161,
"The Devils Wilderness",0,0,0,0,0,
"The Entrance",0,6,638,1491,2139,
"The Entrance North",4,5,294,384,683,
"The Freshwater",0,0,3,4,7,
"The Gap (Richmond Valley - NSW)",0,0,0,0,0,
"The Gap (Wagga Wagga - NSW)",0,0,9,15,28,
"The Glen (NSW)",0,0,0,3,5,
"The Gulf",0,0,0,0,0,
"The Hatch",0,0,14,3,21,
"The Hill",3,6,372,612,993,
"The Junction",0,0,216,276,493,
"The Lagoon",0,0,52,31,76,
"The Marra",0,0,16,7,22,
"The Meadows",0,0,0,0,0,
"The Oaks",0,0,613,290,909,
"The Pilliga",0,0,0,0,0,
"The Pinnacles",0,0,17,18,38,
"The Pocket",0,0,58,61,116,
"The Ponds",9,3,2947,868,3828,
"The Ridgeway",0,0,45,19,59,
"The Risk",0,0,9,13,23,
"The Rock",0,0,269,228,501,
"The Rocks (Bathurst Regional - NSW)",0,0,14,8,23,
"The Rocks (Sydney - NSW)",8,0,116,262,390,
"The Sandon",0,0,0,3,9,
"The Slopes",0,0,78,32,112,
"The Whiteman",3,0,41,18,62,
"Theresa Creek (NSW)",0,0,14,16,27,
"Theresa Park",0,0,134,54,184,
"Thirldene",0,0,3,0,0,
"Thirlmere",0,4,892,607,1506,
"Thirroul",3,4,1462,878,2349,
"Thora",0,0,71,72,139,
"Thornleigh",4,6,1973,1019,3000,
"Thornton (NSW)",9,3,1964,979,2953,
"Thrumster",0,0,115,35,149,
"Thuddungra",0,0,35,12,49,
"Thule",0,0,5,6,11,
"Thumb Creek",0,0,3,10,18,
"Thurgoona",0,4,1934,1069,3014,
"Thyra",0,0,3,0,5,
"Tianjara",0,0,0,0,0,
"Tibbuc",0,0,5,3,12,
"Tibooburra",0,0,22,69,93,
"Tichborne",0,0,19,15,33,
"Tichular",0,0,0,0,0,
"Tighes Hill",4,6,288,425,732,
"Tilba Tilba",0,0,26,20,43,
"Tilbuster",0,0,17,13,25,
"Tilligerry Creek",0,0,0,0,0,
"Tilpa",0,0,3,17,24,
"Timbarra (NSW)",0,0,5,0,14,
"Timbillica",0,0,0,0,4,
"Timbumburi",0,0,41,15,54,
"Timor (NSW)",0,0,14,15,24,
"Tindarey",0,0,8,5,13,
"Tinderry",0,0,11,17,25,
"Tingha",0,0,160,185,344,
"Tingira Heights",0,4,460,318,787,
"Tinonee",3,0,254,211,466,
"Tinpot",0,0,0,4,4,
"Tintenbar",0,0,183,125,316,
"Tintinhull",0,0,101,56,157,
"Tiona",0,0,0,8,8,
"Tipperary (NSW)",0,0,5,9,13,
"Tiri",0,0,0,0,0,
"Tirrannaville",0,0,56,47,101,
"Titaatee Creek",0,0,8,0,11,
"Tocal (NSW)",0,0,6,0,4,
"Tocumwal",0,0,615,644,1267,
"Tolland",0,0,619,867,1487,
"Tolwong",0,0,0,0,0,
"Tomago",0,0,44,136,175,
"Tomakin",0,0,230,255,489,
"Tomalla",0,0,7,9,10,
"Tombong",0,0,3,9,14,
"Tomboye",0,0,6,14,25,
"Tomerong",0,5,263,147,421,
"Tomewin",0,0,27,12,45,
"Tomingley",0,0,69,67,134,
"Tomki",0,0,17,7,27,
"Toms Creek",0,0,5,15,22,
"Tonderburine",0,0,12,7,25,
"Tongarra",0,0,20,16,40,
"Toogong",0,0,19,13,32,
"Tooleybuc",0,0,63,62,125,
"Toolijooa",0,0,22,28,52,
"Tooloom",0,0,3,3,9,
"Tooloon",0,0,10,8,20,
"Tooma",0,0,27,19,45,
"Toongabbie (NSW)",7,5,3199,2123,5334,
"Toongi",0,0,20,9,27,
"Toonumbar",0,0,4,17,21,
"Tooranie",0,0,0,4,0,
"Tooraweenah",0,0,60,45,108,
"Toormina",8,12,1134,1606,2751,
"Toorooka",0,0,10,15,29,
"Toothdale",0,0,47,21,67,
"Tootool",0,0,18,6,26,
"Toowoon Bay",0,0,104,190,293,
"Topi Topi",0,0,14,15,23,
"Toronto",3,7,1088,1331,2426,
"Torrington (NSW)",0,0,14,31,49,
"Torryburn (Dungog - NSW)",0,0,41,20,66,
"Torryburn (Uralla - NSW)",0,0,5,5,13,
"Totnes Valley",0,0,8,8,17,
"Tottenham (NSW)",0,0,101,116,217,
"Touga",0,0,0,0,0,
"Toukley",4,0,818,1298,2128,
"Towallum",0,0,0,0,0,
"Towamba",0,0,52,62,119,
"Townsend",0,0,187,188,378,
"Towradgi",0,3,668,690,1359,
"Towrang",0,0,33,37,77,
"Tralee",0,0,0,3,3,
"Trangie",0,0,222,319,543,
"Tregeagle",0,0,112,66,181,
"Tregear",0,0,496,968,1470,
"Trenayr",0,0,15,16,31,
"Trentham Cliffs",0,0,17,21,40,
"Trewilga",0,0,8,3,13,
"Triamble",0,0,3,5,10,
"Triangle Flat",0,0,15,8,27,
"Trundle",0,0,144,167,311,
"Trungley Hall",0,0,20,6,28,
"Trunkey Creek",0,0,26,25,53,
"Tubbamurra",0,0,0,4,6,
"Tubbul",0,0,23,12,26,
"Tucabia",0,4,84,87,175,
"Tucki Tucki",0,0,43,24,62,
"Tuckombil",0,0,73,27,97,
"Tuckurimba",0,0,20,15,36,
"Tuena",0,0,16,19,36,
"Tuggerah",0,3,178,223,404,
"Tuggerawong",0,0,256,270,532,
"Tugrabakh",0,0,17,14,38,
"Tullakool",0,0,23,10,30,
"Tullamore",0,0,102,80,181,
"Tullarwalla",0,0,0,0,0,
"Tullera",0,0,75,39,109,
"Tullibigeal",0,0,56,49,103,
"Tullimbar",0,0,141,56,198,
"Tulloona",0,0,15,12,26,
"Tullymorgan",0,0,24,23,59,
"Tumbarumba",0,0,408,418,831,
"Tumbi Umbi",5,5,1195,778,1982,
"Tumblong",0,0,44,30,72,
"Tumbulgum",0,0,94,85,174,
"Tumorrama",0,0,8,7,10,
"Tumut",0,4,1267,1450,2721,
"Tumut Plains",0,0,11,3,22,
"Tuncester",0,0,23,12,30,
"Tuncurry",3,4,1294,1946,3247,
"Tunglebung",0,0,9,9,15,
"Tuntable Creek",0,0,28,72,103,
"Tuppal",0,0,5,0,5,
"Tura Beach",0,4,844,555,1397,
"Turill",0,0,22,32,48,
"Turlinjah",0,0,37,24,58,
"Turners Flat",0,0,36,27,59,
"Turondale",0,0,15,20,39,
"Tuross",0,0,3,5,8,
"Tuross Head",4,0,593,535,1132,
"Turramurra",5,7,2920,1539,4471,
"Turrawan",0,0,24,9,30,
"Turrella",7,8,508,436,962,
"Turvey Park",0,4,699,682,1383,
"Tweed Heads",3,5,1666,2744,4412,
"Tweed Heads South",5,4,1457,2521,3991,
"Tweed Heads West",0,5,1116,1903,3025,
"Twelve Mile",0,0,8,4,12,
"Twelve Mile Creek",0,0,27,67,87,
"Twelve Mile Peg",0,0,0,0,0,
"Twenty Forests",0,0,0,0,0,
"Twin Rivers",0,0,5,6,13,
"Two Mile Flat",0,0,18,17,36,
"Tyagarah",0,0,31,46,79,
"Tyalgum",0,0,100,128,229,
"Tyalgum Creek",0,0,25,24,46,
"Tygalgah",0,0,21,34,55,
"Tyndale",0,0,39,45,83,
"Tyringham",0,0,20,27,48,
"Uarbry",0,0,8,10,21,
"Uki",4,0,132,170,308,
"Ulamambri",0,0,53,34,84,
"Ulan",0,0,9,20,27,
"Ulladulla",0,0,1459,1611,3076,
"Ulmarra",0,0,167,160,337,
"Ulong",0,0,27,66,99,
"Ultimo",33,12,919,2726,3696,
"Umina Beach",9,17,3400,3734,7167,
"Unanderra",5,5,1031,1257,2292,
"Underbank",0,0,8,9,10,
"Undercliffe",0,0,0,4,11,
"Ungarie",0,0,108,142,251,
"Unumgar",0,0,8,4,14,
"Upper Allyn",0,0,0,0,3,
"Upper Bingara",0,0,8,13,20,
"Upper Burringbar",0,0,53,82,127,
"Upper Bylong",0,0,4,0,5,
"Upper Colo",0,0,17,11,18,
"Upper Coopers Creek",0,0,12,25,38,
"Upper Copmanhurst",0,0,12,27,38,
"Upper Corindi",0,0,33,31,61,
"Upper Crystal Creek",0,0,44,49,95,
"Upper Dartbrook",0,0,39,23,63,
"Upper Duck Creek",0,0,0,0,0,
"Upper Duroby",0,0,23,12,35,
"Upper Eden Creek",0,0,12,9,18,
"Upper Fine Flower",0,0,11,9,16,
"Upper Growee",0,0,4,0,4,
"Upper Horseshoe Creek",0,0,20,22,47,
"Upper Horton",0,0,39,27,62,
"Upper Kangaroo River",0,0,31,29,55,
"Upper Kangaroo Valley",0,0,0,0,0,
"Upper Karuah River",0,0,0,0,0,
"Upper Lansdowne",0,0,137,96,233,
"Upper Macdonald",0,0,7,8,12,
"Upper Main Arm",0,0,35,96,133,
"Upper Mangrove",0,0,0,0,0,
"Upper Manilla",0,0,28,28,61,
"Upper Mongogarie",0,0,4,8,11,
"Upper Myall",0,0,8,9,10,
"Upper Nile",0,0,6,0,6,
"Upper Orara",0,0,189,133,325,
"Upper Pappinbarra",0,0,13,12,20,
"Upper Rollands Plains",0,0,32,23,48,
"Upper Rouchel",0,0,21,17,37,
"Upper Taylors Arm",0,0,30,29,55,
"Upper Tooloom",0,0,9,8,19,
"Upper Turon",0,0,0,7,9,
"Upper Wilsons Creek",0,0,12,25,35,
"Upsalls Creek",0,0,23,24,50,
"Uralba",0,0,62,31,89,
"Uralla (NSW)",0,0,579,633,1220,
"Urana",0,0,67,104,173,
"Urangeline",0,0,4,0,4,
"Urangeline East",0,0,5,5,12,
"Uranquinty",0,0,210,148,363,
"Urawilkie",0,0,6,0,7,
"Urbenville",0,3,52,89,148,
"Uriarra",0,0,7,0,7,
"Urila",0,0,31,19,47,
"Urliup",0,0,46,33,85,
"Urunga",0,3,650,877,1527,
"Utungun",0,0,45,21,63,
"Vacy",0,0,162,83,249,
"Vale Of Clwydd",0,0,72,151,228,
"Valentine",7,3,1464,683,2151,
"Valery",0,0,29,23,57,
"Valla",0,4,218,156,378,
"Valla Beach",0,0,331,311,640,
"Valley Heights",0,0,304,175,474,
"Varroville",0,0,23,15,39,
"Vaucluse",4,14,2092,1447,3557,
"Verges Creek",0,0,53,41,92,
"Verona",0,0,76,61,135,
"Villawood",0,0,885,1268,2153,
"Vincentia",0,7,826,672,1503,
"Vineyard",0,0,228,280,512,
"Violet Hill",0,0,0,0,0,
"Vittoria (NSW)",0,0,17,13,31,
"Voyager Point",0,0,446,94,544,
"Wadalba",3,3,588,467,1066,
"Wadbilliga",0,0,0,0,0,
"Wadeville",0,0,33,57,89,
"Wagga Wagga",6,9,1224,2217,3454,
"Wagstaffe",0,0,50,47,100,
"Wahroonga",9,5,4038,2108,6162,
"Waitara",9,3,1416,1218,2640,
"Waitui",0,0,17,21,46,
"Wakefield",0,0,37,22,50,
"Wakeley",0,3,1014,588,1603,
"Wakool",0,0,75,67,143,
"Walang",0,0,24,15,31,
"Walbundrie",0,0,39,28,65,
"Walcha",0,0,585,554,1143,
"Walcha Road",0,0,16,10,23,
"Waldegrave",0,0,7,0,7,
"Walgett",0,0,316,557,881,
"Walla Walla",0,0,182,146,332,
"Wallabadah",0,0,95,105,198,
"Wallabi Point",0,0,184,94,278,
"Wallacetown",0,0,0,3,5,
"Wallacia",0,0,365,260,628,
"Wallaga Lake",0,3,141,146,288,
"Wallagoot",0,0,127,89,218,
"Wallalong",0,0,248,94,343,
"Wallamore",0,0,25,18,45,
"Wallanbah",0,0,20,3,29,
"Wallangra",0,0,21,22,46,
"Wallanthery",0,0,11,11,19,
"Wallarah",0,0,74,60,132,
"Wallaringa",0,0,8,3,6,
"Wallarobba",0,0,44,26,77,
"Wallaroo (NSW)",0,0,170,91,264,
"Wallendbeen",0,0,66,53,118,
"Wallerawang",0,0,389,395,786,
"Walleroobie",0,0,13,10,23,
"Wallingat",0,0,0,0,0,
"Wallis Lake",0,0,0,0,0,
"Wallsend",16,16,2469,2928,5427,
"Walmer (NSW)",0,0,10,6,16,
"Wamban",0,0,25,23,51,
"Wambangalang",0,0,11,22,38,
"Wamberal",0,3,1539,875,2414,
"Wamboin",3,0,433,189,626,
"Wambool",0,0,6,5,15,
"Wambrook",0,0,13,3,17,
"Wanaaring",0,0,20,42,61,
"Wandandian",0,0,87,36,123,
"Wandella (NSW)",0,0,44,21,63,
"Wandera",0,0,0,4,9,
"Wandook",0,0,8,12,19,
"Wandsworth",0,0,24,10,38,
"Wang Wauk",0,0,14,28,41,
"Wanganella",0,0,17,18,32,
"Wanganui",0,0,5,16,22,
"Wangi Wangi",4,5,684,539,1226,
"Wantabadgery",0,0,39,38,71,
"Wantagong",0,0,10,7,20,
"Wantiool",0,0,8,9,20,
"Wapengo",0,0,19,21,39,
"Warabrook",0,5,395,377,773,
"Waratah (NSW)",9,3,745,1202,1960,
"Waratah West",0,0,506,699,1205,
"Warburn",0,0,18,19,36,
"Wardell",0,0,157,223,377,
"Wardrop Valley",0,0,18,19,40,
"Wards Mistake",0,0,3,0,6,
"Wards River",0,0,42,46,86,
"Wareemba",0,9,353,272,630,
"Warialda",0,0,345,371,717,
"Warialda Rail",0,0,21,29,53,
"Warilla",0,0,1157,1651,2817,
"Warkworth",0,0,6,14,23,
"Warners Bay",3,8,1709,1556,3274,
"Warnervale",0,0,148,74,223,
"Warrabah",0,0,0,0,0,
"Warraderry",0,0,27,12,37,
"Warragai Creek",0,0,18,20,36,
"Warragamba",0,0,241,270,511,
"Warragoon",0,0,31,17,49,
"Warrah",0,0,10,6,21,
"Warrah Creek",0,0,22,13,35,
"Warrah Ridge",0,0,24,10,35,
"Warral",0,0,95,58,152,
"Warranulla",0,0,7,13,16,
"Warrawee",0,0,758,323,1083,
"Warrawidgee",0,0,18,11,28,
"Warrawong",0,7,769,1277,2048,
"Warrazambil Creek",0,0,7,7,13,
"Warregah Island",0,0,9,0,12,
"Warrell Creek",0,0,66,46,108,
"Warren",0,0,282,343,625,
"Warri",0,0,26,25,47,
"Warriewood",0,6,1720,975,2703,
"Warrimoo",4,4,595,317,919,
"Warroo (NSW)",0,0,33,14,50,
"Warrumbungle",0,0,0,3,5,
"Warwick Farm",12,3,943,1716,2671,
"Washpool (Clarence Valley - NSW)",0,0,0,0,0,
"Washpool (Mid-Coast - NSW)",0,0,11,6,16,
"Watagan",0,0,29,31,61,
"Watanobbi",4,6,699,827,1529,
"Waterfall",0,0,129,59,188,
"Waterloo (NSW)",224,44,2156,5496,7923,
"Watersleigh",0,0,7,3,11,
"Waterview",0,0,16,34,51,
"Waterview Heights",0,0,349,182,527,
"Watsons Bay",0,0,165,142,312,
"Watsons Creek (NSW)",0,0,23,39,58,
"Wattamolla",0,0,19,11,24,
"Wattamondara",0,0,53,41,89,
"Wattle Flat (NSW)",0,0,51,78,130,
"Wattle Grove (NSW)",4,5,2129,910,3052,
"Wattle Ponds",0,0,276,76,354,
"Wattle Ridge (NSW)",0,0,0,0,0,
"Wattle Springs",0,0,13,11,30,
"Watton",0,0,15,10,25,
"Wauchope",0,3,1216,1481,2702,
"Waugorah",0,0,4,0,8,
"Waukivory",0,0,34,18,51,
"Waverley (NSW)",9,6,759,992,1769,
"Waverly",0,0,11,10,18,
"Waverton",14,3,689,802,1515,
"Way Way",0,0,62,39,106,
"Wayo",0,0,32,19,52,
"Weabonga",0,0,13,14,23,
"Wean",0,0,11,4,8,
"Webbers Creek",0,0,9,7,13,
"Webbs Creek",0,0,8,10,22,
"Wedderburn (NSW)",0,0,133,77,213,
"Wee Jasper",0,0,19,25,49,
"Wee Waa",0,0,371,521,894,
"Weedallion",0,0,4,6,10,
"Weemelah",0,0,15,16,34,
"Weetaliba",0,0,6,12,20,
"Weethalle",0,0,51,65,122,
"Weilmoringle",0,0,5,22,29,
"Weismantels",0,0,3,7,13,
"Welaregang",0,0,14,6,17,
"Welby",0,0,146,177,322,
"Wellingrove",0,0,24,23,49,
"Wellington (NSW)",4,0,624,1204,1831,
"Wellington Vale",0,0,11,0,14,
"Wells Crossing",0,0,39,38,74,
"Wendoree Park",0,0,26,23,50,
"Wentworth (NSW)",0,3,292,409,700,
"Wentworth Falls",17,20,1383,1235,2650,
"Wentworth Point",18,8,1673,1896,3595,
"Wentworthville",8,3,2528,1846,4388,
"Werai",0,0,24,14,44,
"Wereboldera",0,0,0,0,0,
"Wermatong",0,0,11,3,17,
"Werombi",0,5,233,81,313,
"Werri Beach",0,0,141,84,228,
"Werrikimbe",0,0,0,0,0,
"Werrington",7,4,738,1012,1754,
"Werrington County",3,5,868,510,1382,
"Werrington Downs",4,3,766,426,1190,
"Werris Creek",0,0,291,443,732,
"West Albury",0,8,754,907,1669,
"West Ballina",0,3,665,804,1476,
"West Bathurst",0,0,653,964,1619,
"West Bungawalbin",0,0,12,14,19,
"West Coraki",0,0,25,26,53,
"West Gosford",4,0,222,423,650,
"West Haven",0,0,265,253,518,
"West Hoxton",5,0,2139,869,3010,
"West Kempsey",0,0,697,1439,2140,
"West Nowra",0,0,287,293,585,
"West Pennant Hills",0,7,4268,1432,5713,
"West Pymble",0,0,1286,524,1814,
"West Ryde",15,13,3028,2588,5643,
"West Tamworth",5,9,741,1605,2358,
"West Wallsend",3,4,517,410,931,
"West Wiangaree",0,0,26,21,53,
"West Wollongong",4,4,960,1069,2037,
"West Wyalong",0,0,629,759,1390,
"Westbrook (NSW)",0,0,40,7,45,
"Westdale (Snowy Valleys - NSW)",0,0,0,0,0,
"Westdale (Tamworth Regional - NSW)",0,0,521,460,983,
"Westleigh",0,3,1157,411,1572,
"Westmead",4,6,3677,2579,6266,
"Weston (NSW)",0,3,707,778,1488,
"Westwood (NSW)",0,0,5,0,5,
"Wetherill Park",0,0,1396,719,2111,
"Wetuppa",0,0,0,0,0,
"Whalan",0,7,861,1410,2272,
"Whale Beach",0,0,57,53,112,
"Wheeler Heights",0,0,713,303,1025,
"Wheeny Creek",0,0,6,6,11,
"Wheeo",0,0,19,13,31,
"Wherrol Flat",0,0,80,58,139,
"Whian Whian",0,0,29,32,64,
"Whiporie",0,0,20,13,35,
"White Cliffs",0,0,27,52,75,
"White Rock (NSW)",0,0,176,60,236,
"Whitebridge",0,0,627,398,1031,
"Whiteman Creek",0,0,39,25,63,
"Whitlow",0,0,14,4,21,
"Whittingham",0,0,92,56,143,
"Whitton",0,0,96,119,212,
"Whoota",0,0,16,12,26,
"Wiagdon",0,0,7,3,16,
"Wiangaree",0,0,25,31,55,
"Wiarborough",0,0,4,0,10,
"Wickham (NSW)",0,7,202,370,578,
"Widden",0,0,10,4,17,
"Widgelli",0,0,20,14,26,
"Wilberforce (NSW)",0,3,685,431,1120,
"Wilbetree",0,0,3,5,16,
"Wilcannia",0,0,97,210,311,
"Wild Cattle Creek",0,0,0,0,0,
"Wildes Meadow",0,0,73,45,120,
"Wiley Park",6,3,2005,1643,3667,
"Willala",0,0,18,7,27,
"Willawarrin",0,0,40,39,77,
"Willbriggie",0,0,30,18,42,
"Willi Willi",0,0,8,12,15,
"Williamsdale",0,0,11,8,22,
"Williamtown",0,0,130,218,345,
"Willigobung",0,0,12,14,21,
"Willina",0,0,17,12,28,
"Willmot",0,0,320,607,925,
"Willoughby (NSW)",10,5,1484,990,2490,
"Willoughby East",7,0,433,169,609,
"Willow Tree",0,0,59,78,137,
"Willow Vale (Kiama - NSW)",0,0,19,13,33,
"Willow Vale (Wingecarribee - NSW)",0,0,167,101,267,
"Willurah",0,0,0,0,0,
"Wilpinjong",0,0,0,0,0,
"Wilsons Creek",3,0,77,119,202,
"Wilton (NSW)",0,0,798,223,1019,
"Wimbledon",0,0,24,14,37,
"Wimborne",0,0,3,0,10,
"Winburndale",0,0,0,0,0,
"Windale",0,0,456,1103,1556,
"Windang",6,0,568,772,1344,
"Windella",0,0,204,48,254,
"Windellama",0,0,71,98,168,
"Windera (NSW)",0,0,77,8,86,
"Windermere (NSW)",0,0,11,7,17,
"Windermere Park",0,0,139,145,287,
"Windeyer (NSW)",0,0,33,61,91,
"Windowie",0,0,10,3,8,
"Windradyne",0,0,604,601,1209,
"Windsor (NSW)",0,0,361,454,809,
"Windsor Downs",0,0,317,93,409,
"Windy",0,0,0,0,0,
"Winegrove",0,0,3,10,15,
"Wingadee",0,0,6,0,6,
"Wingello",0,0,141,89,237,
"Wingen",0,0,62,55,117,
"Wingham",0,4,1079,1237,2324,
"Winifred",0,0,9,11,10,
"Winmalee",0,16,1513,778,2313,
"Winston Hills",3,9,2870,1409,4290,
"Winton (NSW)",0,0,44,56,100,
"Wirlinga",0,0,34,5,43,
"Wirraba",0,0,0,0,0,
"Wirragulla",0,0,5,6,8,
"Wirrimah",0,0,13,15,30,
"Wirrimbi",0,0,26,15,34,
"Wirrinya",0,0,20,17,33,
"Wisemans Creek",0,0,23,31,52,
"Wisemans Ferry",0,0,34,80,120,
"Wittitrin",0,0,17,26,42,
"Wog Wog (Bega Valley - NSW)",0,0,0,0,0,
"Wog Wog (Queanbeyan-Palerang Regional - NSW)",0,0,4,3,9,
"Woko",0,0,0,0,6,
"Wolgan Valley",0,0,4,3,12,
"Wollangambe",0,0,0,0,0,
"Wollar",0,0,6,24,30,
"Wollemi",0,0,0,0,0,
"Wolli Creek",71,17,1275,1721,3091,
"Wollogorang",0,0,14,8,28,
"Wollombi",0,0,42,54,101,
"Wollomombi",0,0,28,19,45,
"Wollongbar",0,0,675,477,1151,
"Wollongong",31,23,3124,5993,9165,
"Wollstonecraft",20,7,1934,2156,4122,
"Wollumboola",0,0,6,3,12,
"Wollun",0,0,20,8,30,
"Wolumla",0,4,163,118,285,
"Wombarra",0,3,218,116,343,
"Wombat",0,0,58,35,94,
"Wombat Creek (NSW)",0,0,0,0,5,
"Wombeyan Caves",0,0,7,15,29,
"Womboota",0,0,23,26,48,
"Womerah",0,0,0,0,0,
"Wonboyn",0,0,33,27,62,
"Wonboyn North",0,0,0,0,0,
"Wondabyne",0,0,0,3,4,
"Wondalga",0,0,23,11,38,
"Wongarbon",0,0,178,115,293,
"Wongawilli",0,0,31,22,52,
"Wongo Creek",0,0,5,7,10,
"Wongwibinda",0,0,16,5,22,
"Woodberry",0,4,540,686,1225,
"Woodbine (NSW)",4,0,609,390,1006,
"Woodburn (Richmond Valley - NSW)",0,0,130,188,320,
"Woodburn (Shoalhaven - NSW)",0,0,11,11,19,
"Woodcroft (NSW)",6,0,1610,539,2157,
"Woodenbong",0,0,92,95,188,
"Woodford (NSW)",5,0,472,298,777,
"Woodford Island",0,0,55,41,100,
"Woodhill (NSW)",0,0,17,23,44,
"Woodhouselee",0,0,3,4,10,
"Woodlands (Eurobodalla - NSW)",0,0,12,14,27,
"Woodlands (Wingecarribee - NSW)",3,0,65,45,114,
"Woodlawn",0,0,8,10,17,
"Woodpark",0,0,326,180,509,
"Woodrising",0,0,236,199,439,
"Woodside (NSW)",0,0,8,13,19,
"Woodsreef",0,0,18,14,35,
"Woodstock (Cowra - NSW)",0,0,153,177,324,
"Woodstock (Inverell - NSW)",0,0,11,0,10,
"Woodstock (Shoalhaven - NSW)",0,0,65,32,93,
"Woodview",0,0,37,23,59,
"Woodville (NSW)",0,0,104,66,161,
"Woody Head",0,0,0,17,17,
"Woolbrook",0,0,37,30,71,
"Woolgarlo",0,0,5,7,14,
"Woolgoolga",0,4,1113,1382,2499,
"Wooli",0,0,88,151,242,
"Woollahra",39,9,1493,1928,3475,
"Woollamia",0,0,151,105,253,
"Woolloomooloo",73,9,529,1679,2282,
"Woolners Arm",0,0,0,3,7,
"Woolomin",0,0,58,50,119,
"Woolooma",0,0,10,4,13,
"Woolooware",0,4,901,634,1541,
"Wooloweyah",0,0,97,84,182,
"Woolwich",0,6,199,129,330,
"Woomargama",0,0,39,36,77,
"Woombah",0,0,205,212,421,
"Woongarrah",0,4,1190,542,1737,
"Woonona",5,12,2674,2208,4897,
"Wootton",0,0,51,54,100,
"Wooyung",0,0,18,58,77,
"Worlds End (NSW)",0,0,0,0,0,
"Woronora",3,0,536,256,794,
"Woronora Dam",0,0,0,0,3,
"Woronora Heights",0,0,750,174,921,
"Worrigee",4,5,1093,801,1898,
"Worrowing Heights",0,0,115,106,228,
"Woy Woy",10,8,2019,2976,5014,
"Woy Woy Bay",4,0,112,60,176,
"Wrathall",0,0,4,3,9,
"Wrights Beach",0,0,33,25,57,
"Wrights Creek (NSW)",0,0,0,7,10,
"Wuuluman",0,0,25,13,45,
"Wyalong",0,0,156,125,288,
"Wyan",0,0,4,8,20,
"Wyanbene",0,0,0,6,12,
"Wyangala",0,0,48,51,92,
"Wyangle",0,0,10,0,14,
"Wybong",0,0,29,21,51,
"Wybung",0,0,0,0,0,
"Wyee",0,0,531,421,951,
"Wyee Point",0,0,276,118,400,
"Wylie Creek",0,0,4,3,6,
"Wylies Flat",0,0,13,3,17,
"Wymah",0,0,13,7,13,
"Wyndham (NSW)",0,0,82,91,170,
"Wyneden",0,0,17,10,27,
"Wyoming",12,9,1991,2120,4131,
"Wyong",3,0,748,1225,1980,
"Wyong Creek",7,0,101,71,174,
"Wyongah",0,0,417,368,784,
"Wyrallah",4,0,110,63,173,
"Yabbra",0,0,0,3,3,
"Yadboro",0,0,0,0,0,
"Yagon",0,0,0,0,0,
"Yagoona",5,0,3406,2828,6242,
"Yalbraith",0,0,4,3,4,
"Yallah",0,0,35,13,40,
"Yallaroi",0,0,32,20,47,
"Yalwal",0,0,0,0,0,
"Yamba (NSW)",6,3,1408,1906,3322,
"Yambulla",0,0,0,0,0,
"Yanco",0,0,123,168,288,
"Yanderra",0,0,147,100,241,
"Yanga",0,0,5,12,14,
"Yankees Creek",0,0,0,0,0,
"Yannergee",0,0,11,7,18,
"Yantabulla",0,0,0,10,13,
"Yaouk",0,0,7,6,11,
