Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SSC by SSCF Same-Sex Couple Indicator"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"SSCF Same-Sex Couple Indicator","Male same-sex couple","Female same-sex couple","Opposite-sex couple","Not applicable","Total",
"Arakoon",0,0,126,81,205,
"Araluen (NSW)",0,0,34,57,88,
"Aratula (NSW)",0,0,0,0,0,
"Arcadia (NSW)",0,0,343,136,478,
"Arcadia Vale",0,0,338,215,551,
"Ardglen",0,0,12,15,27,
"Arding",0,0,61,28,91,
"Ardlethan",0,0,105,147,250,
"Argalong",0,0,7,5,13,
"Argenton",0,0,242,372,618,
"Argents Hill",0,0,43,58,102,
"Argoon (NSW)",0,0,5,0,5,
"Ariah Park",0,0,111,91,209,
"Arkell",0,0,12,10,17,
"Arkstone",0,0,3,7,5,
"Armatree",0,0,36,22,54,
"Armidale",15,20,4154,5156,9343,
"Arncliffe",40,22,2074,2017,4148,
"Arndell Park",0,0,0,0,0,
"Arrawarra",0,0,131,252,383,
"Arrawarra Headland",0,0,131,106,238,
"Artarmon",23,5,2131,1943,4104,
"Arthurville",0,0,16,4,15,
"Arumpo",0,0,11,13,19,
"Ashbury",4,3,775,387,1172,
"Ashby (NSW)",0,0,94,69,160,
"Ashby Heights",0,0,57,44,103,
"Ashby Island",0,0,0,0,4,
"Ashcroft",0,0,515,769,1286,
"Ashfield (NSW)",56,51,4591,5574,10274,
"Ashford (NSW)",0,0,130,171,302,
"Ashley",0,0,73,76,149,
"Ashmont",4,0,566,1077,1648,
"Ashtonfield",4,0,1107,547,1655,
"Asquith",0,4,795,473,1267,
"Atholwood",0,0,21,10,32,
"Attunga",0,0,137,100,239,
"Auburn (NSW)",16,8,6796,5775,12596,
"Auburn Vale",0,0,31,16,44,
"Austinmer",0,7,590,391,986,
"Austral",0,0,567,519,1087,
"Austral Eden",5,0,33,26,56,
"Avalon Beach",8,0,2354,1365,3730,
"Avisford",0,0,4,8,9,
"Avoca (NSW)",0,0,49,34,88,
"Avoca Beach",0,3,1061,652,1708,
"Avon (NSW)",0,0,0,0,0,
"Avondale (NSW)",0,0,374,358,734,
"Avonside",0,0,32,12,44,
"Awaba",0,0,85,65,151,
"Aylmerton",0,0,45,29,73,
"Baan Baa",0,0,37,37,76,
"Babinda (NSW)",0,0,0,0,0,
"Babyl Creek",0,0,0,5,9,
"Back Creek (Bland - NSW)",0,0,7,13,21,
"Back Creek (Gwydir - NSW)",0,0,3,6,6,
"Back Creek (Mid-Coast - NSW)",0,0,6,5,15,
"Back Creek (Queanbeyan-Palerang Regional - NSW)",0,0,0,0,4,
"Back Creek (Tenterfield - NSW)",0,0,0,5,3,
"Back Creek (Tweed - NSW)",0,0,0,4,7,
"Back Forest",0,0,23,17,35,
"Backmede",0,0,43,17,54,
"Backwater",0,0,3,3,7,
"Badgerys Creek",0,0,35,44,82,
"Badja",0,0,0,4,5,
"Baerami",0,0,13,13,27,
"Baerami Creek",0,0,12,10,22,
"Bagnoo",0,0,7,7,16,
"Bago",0,0,10,7,12,
"Bagotville",0,0,13,9,21,
"Bakers Creek (Mid-Coast - NSW)",0,0,11,3,14,
"Bakers Creek (Nambucca - NSW)",0,0,0,9,12,
"Bakers Creek (Uralla - NSW)",0,0,3,6,10,
"Bakers Swamp",0,0,8,8,22,
"Balaclava (NSW)",0,0,111,87,201,
"Balala",0,0,25,30,58,
"Balcolyn",0,0,226,184,410,
"Bald Blair",0,0,12,13,24,
"Bald Hills (NSW)",0,0,60,33,98,
"Bald Nob",0,0,4,0,5,
"Bald Ridge",0,0,5,4,4,
"Baldersleigh",0,0,13,13,21,
"Baldry",0,0,20,16,38,
"Balfours Peak",0,0,8,3,14,
"Balgowlah",4,13,1833,1468,3324,
"Balgowlah Heights",0,0,817,298,1112,
"Balgownie",0,3,1308,918,2229,
"Balickera",0,0,3,3,7,
"Balladoran",0,0,24,13,39,
"Ballalaba",0,0,6,13,18,
"Balldale",0,0,37,36,70,
"Ballengarra",0,0,21,12,30,
"Ballimore",0,0,35,46,81,
"Ballina",7,8,1502,2911,4422,
"Ballyroe",0,0,0,4,4,
"Balmain",32,45,2204,2565,4849,
"Balmain East",9,10,460,429,902,
"Balmoral (Lake Macquarie - NSW)",0,0,181,93,274,
"Balmoral (Wingecarribee - NSW)",0,0,123,49,173,
"Balranald",0,0,279,342,621,
"Bamarang",0,0,3,6,7,
"Banda Banda",0,0,0,0,0,
"Bandon Grove",0,0,31,11,40,
"Bangadang",0,0,5,0,5,
"Bangalee (NSW)",0,4,176,80,257,
"Bangalow",3,0,425,392,824,
"Bangheet",0,0,11,10,19,
"Bango",0,0,22,19,43,
"Bangor (NSW)",0,4,1405,578,1984,
"Banksia",4,4,733,536,1284,
"Banksmeadow",0,0,4,3,5,
"Bankstown",8,10,5939,5843,11794,
"Bankstown Aerodrome",0,0,0,0,0,
"Bannaby",0,0,11,17,25,
"Bannister (NSW)",0,0,31,15,45,
"Banoon",0,0,6,8,16,
"Banora Point",7,9,3621,3484,7126,
"Banyabba",0,0,11,11,21,
"Bar Beach",0,0,238,343,581,
"Bar Point",0,0,15,20,39,
"Bara",0,0,8,10,12,
"Baradine",0,0,150,218,373,
"Barangaroo",0,0,26,86,114,
"Barcoongere",0,0,0,0,0,
"Barden Ridge",0,0,1030,298,1325,
"Bardia",0,0,365,187,554,
"Bardwell Park",7,0,534,316,858,
"Bardwell Valley",7,4,517,363,886,
"Barellan",0,0,113,110,222,
"Bargo",0,0,1036,655,1698,
"Barham",0,0,334,406,741,
"Barigan",0,0,0,3,3,
"Barkers Vale",3,0,29,51,82,
"Barmedman",0,0,95,100,194,
"Barneys Reef",0,0,0,0,0,
"Barnsley",0,3,401,251,655,
"Barooga",0,0,399,383,786,
"Barraba",0,0,288,396,689,
"Barrack Heights",4,3,1221,1219,2447,
"Barrack Point",0,0,154,134,288,
"Barraganyatti",0,0,36,29,61,
"Barragga Bay",0,0,29,21,53,
"Barratta (NSW)",0,0,0,3,4,
"Barren Grounds",0,0,0,0,0,
"Barrengarry",0,0,47,32,81,
"Barretts Creek",0,0,5,4,6,
"Barringella",0,0,9,3,11,
"Barrington (NSW)",0,0,101,63,164,
"Barrington Tops",0,0,0,0,0,
"Barry (Blayney - NSW)",0,0,38,25,70,
"Barry (Upper Hunter Shire - NSW)",0,0,0,0,4,
"Barwang",0,0,18,14,32,
"Barwon",0,0,5,5,13,
"Baryulgil",0,0,11,32,42,
"Basin View",0,4,325,329,652,
"Bass Hill",4,3,1739,1365,3111,
"Bassendean (NSW)",0,0,0,0,0,
"Batar Creek",0,0,19,24,36,
"Bateau Bay",7,13,2521,2470,5014,
"Batehaven",0,0,334,525,863,
"Batemans Bay",0,0,224,619,842,
"Bathampton",0,0,10,0,11,
"Bathurst",11,9,1068,2362,3449,
"Batlow",0,0,283,321,605,
"Baulkham Hills",13,14,9140,4337,13513,
"Baw Baw (NSW)",0,0,66,36,106,
"Bawley Point",0,3,172,160,335,
"Baxters Ridge",0,0,0,0,0,
"Bayview (NSW)",4,0,851,763,1614,
"Beacon Hill",0,4,1785,815,2610,
"Beaconsfield (NSW)",12,3,198,243,459,
"Bean Creek",0,0,17,16,33,
"Bearbong",0,0,15,5,22,
"Beaumont (NSW)",0,0,24,33,63,
"Beaumont Hills",0,0,2211,586,2799,
"Beckom",0,0,32,13,43,
"Bective",0,0,54,29,83,
"Bectric",0,0,10,13,23,
"Bedgerabong",0,0,36,23,57,
"Beechwood",0,0,134,110,246,
"Beecroft",9,3,2353,942,3305,
"Beecroft Peninsula",0,0,0,0,0,
"Beelbangera",0,0,92,65,159,
"Beemunnel",0,0,3,0,6,
"Bega",0,0,925,1134,2054,
"Beggan Beggan",0,0,24,8,33,
"Belanglo",0,0,3,8,7,
"Belbora",0,0,29,26,58,
"Belfield",0,3,1341,1024,2374,
"Belford",0,0,43,17,57,
"Belfrayden",0,0,4,9,10,
"Belgravia",0,0,28,14,46,
"Belimbla Park",0,0,134,72,200,
"Bell (NSW)",0,0,9,7,13,
"Bella Vista",0,5,1951,572,2526,
"Bellambi",4,0,662,1123,1794,
"Bellangry",0,0,21,21,41,
"Bellata",0,0,68,76,144,
"Bellawongarah",0,0,35,29,65,
"Bellbird",0,0,420,391,809,
"Bellbird Heights",0,0,191,124,315,
"Bellbrook",0,0,56,85,134,
"Bellevue Hill",30,9,2269,2172,4483,
"Bellimbopinni",0,0,22,26,47,
"Bellingen",4,11,727,883,1627,
"Bellmount Forest",0,0,30,13,47,
"Belltrees",0,0,6,8,16,
"Belmont (NSW)",0,4,1530,1678,3213,
"Belmont North",0,4,1453,972,2440,
"Belmont South",0,0,210,285,502,
"Belmore",10,11,2491,2456,4967,
"Belmore River",0,0,61,44,108,
"Beloka",0,0,3,5,6,
"Belowra",0,0,5,5,3,
"Belrose",0,4,2069,1171,3243,
"Bemboka",0,0,128,139,266,
"Ben Bullen",0,0,20,15,40,
"Ben Lomond (NSW)",0,0,41,32,76,
"Benandarah",0,0,27,70,101,
"Bendalong",0,0,17,29,47,
"Bendemeer",0,0,100,124,225,
"Bendick Murrell",0,0,32,37,76,
"Bendolba",0,0,44,39,87,
"Bendoura",0,0,21,11,25,
"Benerembah",0,0,26,15,45,
"Bengalla",0,0,4,3,7,
"Bennetts Green",0,0,3,6,4,
"Benolong",0,0,10,0,13,
"Bensville",0,4,637,252,885,
"Bentley (NSW)",0,0,53,23,79,
"Berala",4,3,1834,1461,3302,
"Berambing",0,0,26,20,43,
"Beresfield",0,7,649,757,1409,
"Bergalia",0,0,46,13,62,
"Berkeley",0,5,1474,1627,3106,
"Berkeley Vale",4,10,1782,1442,3240,
"Berkshire Park",0,0,251,138,391,
"Berlang",0,0,0,0,0,
"Bermagui",0,0,354,401,761,
"Berowra",4,3,1188,446,1638,
"Berowra Creek",0,0,8,0,8,
"Berowra Heights",0,3,1341,521,1863,
"Berowra Waters",0,0,13,45,63,
"Berrambool",0,0,98,121,226,
"Berrara",0,0,76,63,135,
"Berremangra",0,0,21,10,33,
"Berrico",0,0,9,5,9,
"Berridale",0,0,263,283,549,
"Berrigal",0,0,6,6,16,
"Berrigan",0,0,256,324,579,
"Berrilee",0,0,50,35,83,
"Berrima",5,0,169,125,301,
"Berringer Lake",0,0,5,3,14,
"Berry",0,4,669,470,1146,
"Berry Jerry",0,0,15,11,27,
"Berry Mountain",0,0,11,4,13,
"Berry Park",0,0,32,14,48,
"Berthong",0,0,9,7,19,
"Beryl",0,0,30,19,52,
"Bethungra",0,0,41,36,76,
"Bevendale",0,0,8,12,19,
"Beverley Park",4,0,556,346,905,
