Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by INDP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"SSC (UR)",
"Aarons Pass",8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,20,
"Abbotsbury",6,0,201,18,308,81,271,133,112,41,120,48,142,54,132,202,178,38,86,97,35,1950,4251,
"Abbotsford (NSW)",6,9,112,14,190,99,231,130,107,79,211,73,361,100,160,250,271,44,107,90,19,2716,5377,
"Abercrombie",6,11,68,5,43,8,55,29,16,12,12,6,29,5,78,76,82,5,15,11,4,539,1111,
"Abercrombie River",4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,
"Aberdare",11,72,60,13,74,12,113,116,41,0,12,12,19,40,55,51,134,14,44,23,17,1524,2471,
"Aberdeen (NSW)",77,169,66,39,62,13,90,60,23,6,12,9,25,24,28,54,56,6,45,30,8,1181,2088,
"Aberfoyle",38,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,44,101,
"Aberglasslyn",15,379,148,41,204,63,305,219,111,17,68,42,93,83,158,164,328,19,143,74,29,2703,5403,
"Abermain",16,73,94,11,91,18,103,98,32,3,12,16,27,37,45,60,116,8,43,31,21,1377,2336,
"Abernethy",0,15,11,0,7,0,13,16,7,0,0,4,4,4,10,3,12,3,15,3,0,230,345,
"Abington (NSW)",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,
"Acacia Creek",8,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,0,0,0,0,0,21,37,
"Acacia Gardens",0,0,168,12,139,103,244,106,114,51,141,17,159,65,149,162,258,16,87,79,17,1729,3799,
"Adaminaby",25,0,3,8,10,0,15,20,3,0,0,6,5,3,9,8,7,10,5,5,3,165,305,
"Adamstown",7,53,135,42,259,56,320,281,88,31,115,44,225,109,304,294,501,51,97,69,39,2937,6046,
"Adamstown Heights",11,51,120,37,224,40,213,162,97,31,131,41,213,56,198,294,390,50,91,48,19,2776,5295,
"Adelong",36,0,66,0,25,6,23,30,39,0,8,0,13,12,14,26,29,5,11,34,3,568,944,
"Adjungbilly",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,42,86,
"Afterlee",4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,31,47,
"Agnes Banks",32,4,21,7,85,24,31,19,18,8,9,6,25,4,31,33,41,19,14,16,3,451,911,
"Airds",0,0,50,6,33,16,47,47,44,8,3,3,9,39,18,26,85,4,11,48,32,2404,2927,
"Akolele",0,0,0,0,8,0,4,4,6,0,0,0,0,0,0,3,3,0,0,0,0,143,168,
"Albert",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,42,82,
"Albion Park",21,153,438,90,692,144,769,451,376,42,172,93,233,204,483,489,882,76,304,161,72,6974,13319,
"Albion Park Rail",19,61,192,35,316,74,376,204,188,19,82,36,78,111,168,197,455,34,140,96,38,4009,6918,
"Albury",39,4,170,8,180,37,198,212,71,34,57,48,149,42,177,286,414,19,73,44,19,2515,4802,
"Aldavilla",9,0,15,0,20,4,49,20,20,0,8,11,0,12,17,35,56,0,11,9,4,918,1226,
"Alectown",42,4,0,0,0,0,0,3,6,0,0,0,0,0,3,5,9,0,6,0,0,89,170,
"Alexandria",9,11,160,38,251,158,394,361,245,343,541,102,955,216,382,472,451,167,163,184,57,2595,8264,
"Alfords Point",0,5,123,12,190,62,212,86,102,39,102,44,133,62,80,200,163,27,81,57,21,1315,3112,
"Alfredtown",25,0,5,0,4,0,3,0,0,0,0,0,3,0,0,5,6,0,7,0,0,47,109,
"Alice",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,
"Alison (Central Coast - NSW)",0,0,3,0,8,3,5,3,4,3,0,0,9,0,0,0,3,0,0,0,0,50,95,
"Alison (Dungog - NSW)",3,0,3,0,3,0,0,3,5,0,0,0,5,3,0,3,0,0,0,0,0,44,78,
"Allambie Heights",11,5,133,24,310,124,315,169,98,108,237,84,426,129,172,274,408,71,126,119,36,3631,7006,
"Allandale (NSW)",3,6,3,0,6,0,3,0,0,0,0,0,0,8,5,3,7,0,6,0,0,29,74,
"Allawah",3,7,169,12,156,86,352,316,212,68,182,52,201,144,118,153,397,45,94,118,51,2774,5710,
"Alleena",9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,35,56,
"Allgomera",5,0,5,0,7,0,0,5,0,0,0,0,0,5,0,7,12,0,0,0,0,82,132,
