Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Queanbeyan East",233,401,309,250,372,216,134,218,24,14,1764,3936,
"Queanbeyan West",206,267,247,184,331,144,97,147,16,20,1477,3136,
"Queens Park (NSW)",320,665,67,92,185,116,14,32,26,10,1540,3066,
"Queens Pinch",4,0,0,0,0,0,0,0,0,0,18,31,
"Queenscliff (NSW)",458,747,185,208,252,159,37,80,23,8,1225,3377,
"Quialigo",19,12,9,16,13,3,10,13,0,0,144,254,
"Quidong",4,0,0,0,0,0,0,0,0,0,8,13,
"Quiera",0,0,0,0,0,0,0,0,0,0,0,0,
"Quipolly",19,12,16,5,11,5,5,10,0,0,80,175,
"Quirindi",188,201,175,169,141,112,178,181,6,13,2088,3441,
"Quorrobolong",42,46,47,23,39,26,22,24,0,9,242,509,
"Raby",276,383,477,325,548,324,355,329,35,28,2859,5945,
"Raglan (NSW)",43,58,105,90,60,56,67,72,9,4,635,1201,
"Rainbow Flat",22,72,45,25,36,35,14,36,0,0,389,672,
"Rainbow Reach",13,4,4,5,3,0,3,8,0,0,39,86,
"Raleigh",41,55,46,25,38,26,15,36,0,0,365,649,
"Ramornie",9,9,5,18,7,7,4,6,0,0,139,204,
"Ramsgate",80,116,65,46,86,54,33,48,5,0,575,1114,
"Ramsgate Beach",99,137,90,71,136,82,63,50,7,6,924,1658,
"Rand",51,9,0,7,5,6,0,16,0,4,107,207,
"Randwick",2672,6499,1479,1470,2080,1134,349,669,128,87,13426,29990,
"Rangari",13,0,0,0,0,0,9,0,0,0,8,39,
"Rangers Valley",10,0,0,0,4,0,0,0,0,0,13,26,
"Rankin Park",147,349,145,123,176,91,53,64,16,3,1296,2458,
"Rankins Springs",36,9,11,9,0,3,9,16,0,0,80,173,
"Rannock",20,0,4,0,0,0,0,0,0,0,27,56,
"Rappville",4,0,0,3,0,3,5,8,0,0,130,166,
"Rathmines",75,155,161,104,108,66,69,66,5,0,1083,1898,
"Ravensdale",3,10,5,4,0,0,0,3,0,0,41,68,
"Ravenswood (NSW)",22,13,21,22,13,7,16,22,0,0,361,499,
"Ravensworth (NSW)",0,0,0,0,0,0,0,5,0,0,5,10,
"Rawdon Island",8,11,4,3,5,5,0,3,0,0,56,97,
"Rawdon Vale",7,0,0,0,3,0,0,0,0,0,11,23,
"Raworth",92,171,128,94,118,83,77,60,6,0,949,1789,
"Rawsonville",15,8,4,0,0,0,0,0,0,0,21,53,
"Raymond Terrace",374,545,847,611,624,535,547,740,37,30,7930,12815,
"Razorback",103,99,86,54,97,41,39,36,6,0,517,1084,
"Red Head",22,60,27,18,18,27,5,15,3,7,323,515,
"Red Hill (Snowy Valleys - NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"Red Hill (Tamworth Regional - NSW)",7,0,0,0,0,0,0,0,0,0,14,20,
"Red Hill (Warren - NSW)",6,0,0,0,0,0,0,0,0,0,3,11,
"Red Range",22,5,8,6,8,12,0,12,0,0,105,185,
"Red Rock",17,30,24,16,24,6,13,28,3,0,282,440,
"Red Rocks",0,0,0,0,0,0,0,0,0,0,0,5,
"Redbank (NSW)",29,23,30,18,22,11,18,17,0,3,209,373,
"Redbournberry",15,15,17,6,28,11,26,4,0,0,108,229,
"Reddestone",4,0,6,3,3,3,9,0,0,0,32,52,
"Redfern",1168,3186,567,668,842,498,117,335,67,47,5721,13213,
"Redhead",189,394,222,164,209,129,66,116,16,8,2008,3517,
"Redlands",13,4,0,0,7,0,0,0,0,0,11,38,
"Reedy Creek (NSW)",10,9,18,0,14,3,12,9,0,3,97,172,
"Reedy Swamp",7,4,5,6,6,3,0,3,0,0,44,77,
"Reefton (NSW)",5,4,0,0,0,3,0,0,0,0,26,40,
"Regents Park (NSW)",174,310,286,186,287,164,192,297,25,25,2985,4926,
"Regentville",46,58,66,53,78,44,35,46,5,4,387,809,
"Reids Flat",13,0,3,3,0,0,0,9,0,4,53,84,
"Reidsdale",19,14,7,4,4,8,0,8,0,0,58,124,
"Rennie",15,0,0,0,4,0,0,8,0,0,15,45,
"Renwick",42,66,34,42,41,25,17,27,3,0,286,573,
"Repentance Creek",0,15,5,3,7,5,0,5,0,0,63,105,
"Repton",41,70,37,36,25,19,11,26,0,5,372,650,
"Reserve Creek",17,11,10,0,5,4,7,5,0,0,67,127,
"Retreat (NSW)",4,4,0,0,0,0,3,4,0,0,37,51,
"Revesby",732,1237,900,612,1143,526,463,546,64,73,7883,14180,
"Revesby Heights",102,204,120,104,158,84,37,37,5,10,813,1671,
"Rhine Falls",8,3,5,0,5,0,0,3,0,0,18,41,
"Rhodes",970,2319,460,402,819,572,103,178,66,64,5965,11908,
"Richlands (NSW)",8,0,0,0,0,0,0,0,0,0,17,34,
"Richmond (NSW)",259,413,396,331,298,223,192,255,25,13,3076,5481,
"Richmond Hill (NSW)",67,101,47,38,78,42,22,24,0,4,390,822,
"Richmond Lowlands",15,0,3,0,4,0,0,0,0,0,24,45,
"Richmond Vale",10,5,6,3,7,4,5,4,0,0,40,83,
"Rileys Hill",6,16,16,9,8,3,3,10,0,0,97,175,
"Ringwood (NSW)",9,0,5,4,0,0,0,5,0,0,19,35,
"Riverlea",3,4,3,0,0,0,0,3,0,0,18,45,
"Riverside (NSW)",27,21,10,6,19,9,11,10,0,6,203,323,
"Riverstone",365,536,548,292,526,330,393,330,38,31,3856,7243,
"Rivertree",8,0,0,0,0,0,0,0,0,0,12,18,
"Riverview (NSW)",334,638,58,107,195,127,11,27,16,5,1842,3354,
"Riverwood",399,921,600,468,699,509,418,551,48,71,7415,12098,
"Rixs Creek",0,0,0,0,0,0,7,4,0,0,9,21,
"Rob Roy",13,3,0,3,5,0,0,0,0,0,33,62,
"Robertson (NSW)",121,166,149,90,90,49,47,84,8,5,1040,1863,
"Robin Hill",92,130,64,41,70,34,15,33,6,0,435,924,
"Rock Flat",22,5,3,0,5,3,0,0,0,0,30,75,
"Rock Forest",20,18,9,10,19,7,8,10,0,0,98,202,
"Rock Valley",20,17,14,17,17,22,10,19,0,0,139,265,
"Rockdale",766,1589,1048,943,1019,876,497,1281,85,94,7340,15535,
"Rockley",20,10,16,6,11,0,0,17,0,0,103,187,
"Rockley Mount",10,15,4,5,4,3,0,0,0,0,39,80,
"Rockton",0,0,0,0,0,0,0,0,0,0,21,26,
"Rocky Creek (Gwydir - NSW)",14,0,0,5,0,3,0,5,0,0,29,53,
"Rocky Creek (Inverell - NSW)",0,0,3,0,0,0,0,0,0,0,8,9,
"Rocky Glen",16,3,0,0,0,4,4,0,0,0,46,79,
"Rocky Hall",0,0,4,0,0,0,4,0,0,0,33,42,
"Rocky Plain (NSW)",8,4,3,3,3,0,3,3,0,0,23,63,
"Rocky Point (NSW)",11,10,19,13,14,14,17,19,0,0,146,263,
"Rocky River (Tenterfield - NSW)",4,0,0,0,0,0,0,0,0,0,18,24,
"Rocky River (Uralla - NSW)",14,14,19,14,16,14,9,18,0,0,143,270,
"Rodd Point",148,232,59,42,113,58,14,33,6,8,664,1381,
"Rollands Plains",10,16,12,10,11,5,6,11,0,0,86,156,
"Rookhurst",8,4,3,0,3,0,3,3,0,0,39,66,
"Rookwood (NSW)",0,0,0,0,0,0,0,0,0,0,3,0,
"Rooty Hill",463,1091,831,699,1093,616,902,773,80,59,8097,14704,
"Ropers Road",3,0,0,0,0,3,0,0,0,0,3,14,
"Ropes Crossing",273,585,323,319,511,265,347,241,36,18,3253,6172,
"Rose Bay (NSW)",1108,1870,322,383,631,462,65,158,70,37,4953,10051,
"Rose Valley (Kiama - NSW)",11,12,0,0,3,0,0,0,0,0,46,75,
"Rose Valley (Snowy Monaro Regional - NSW)",4,5,3,0,4,0,0,0,0,0,20,30,
"Rosebank",37,61,18,16,16,9,3,20,0,3,237,418,
"Roseberg",0,0,0,0,0,6,0,0,0,0,16,32,
"Roseberry",3,0,0,0,0,6,0,3,0,0,30,38,
"Roseberry Creek",0,3,0,0,0,0,0,5,0,0,20,36,
"Rosebery (NSW)",758,1495,597,468,790,463,230,301,65,65,4881,10116,
"Rosebrook (NSW)",4,12,5,0,0,3,4,3,0,0,36,73,
"Rosedale (NSW)",10,28,11,12,10,11,3,9,0,0,141,225,
"Rosehill (NSW)",205,501,230,157,262,178,171,208,26,15,1863,3807,
"Roselands",520,866,656,431,776,540,390,430,46,54,6862,11573,
"Rosemeadow",267,415,491,409,524,382,450,382,40,35,4457,7860,
"Rosemeath",3,0,0,0,0,0,3,0,0,0,12,19,
"Roseville",944,2011,270,341,581,389,53,136,61,24,5276,10085,
"Roseville Chase",176,290,35,51,97,83,10,19,18,10,822,1615,
"Rosewood (Port Macquarie-Hastings - NSW)",18,12,21,10,15,17,8,10,0,0,107,227,
"Rosewood (Snowy Valleys - NSW)",23,4,8,6,3,4,21,20,5,4,129,211,
"Roslyn",28,0,4,0,3,0,4,7,0,0,46,89,
"Rossglen",0,0,6,0,0,0,0,0,0,0,49,57,
"Rossgole",0,0,0,0,0,0,0,0,0,0,3,3,
"Rossi",0,4,7,6,8,0,8,0,3,0,46,96,
"Rossmore (NSW)",183,107,173,59,137,95,109,107,22,7,1292,2283,
"Roto",13,4,0,0,0,0,0,0,0,0,20,45,
"Rouchel",25,10,16,0,8,8,6,13,0,0,63,150,
"Rouchel Brook",0,6,0,0,0,0,0,0,0,0,17,30,
"Roughit",15,0,12,6,12,3,7,3,0,0,57,116,
"Round Mountain",14,12,12,6,6,7,7,6,0,0,67,146,
"Round Swamp",0,0,0,0,0,0,0,0,0,0,14,19,
"Rous",40,24,12,11,10,7,4,4,0,0,118,230,
"Rous Mill",26,24,15,8,6,8,9,18,3,0,90,195,
"Rouse Hill",681,981,525,387,699,416,208,237,49,17,3769,7967,
"Rowan",5,4,8,4,10,4,7,0,0,0,41,92,
"Rowena",38,8,3,5,12,0,12,19,0,0,87,183,
"Rowlands Creek",3,0,8,6,5,0,0,4,0,0,46,75,
"Royal National Park",3,9,4,5,0,0,0,0,0,0,14,24,
"Royalla",91,121,61,47,101,32,31,23,9,6,462,984,
"Rozelle",1277,1969,343,303,576,329,46,119,68,28,3660,8726,
"Ruby Creek",4,0,4,0,0,4,0,7,0,0,35,64,
"Rufus",7,0,0,0,3,0,0,0,0,0,14,21,
"Rugby",14,3,5,0,5,5,6,7,0,0,32,72,
"Rukenvale",10,0,0,0,0,0,0,0,0,0,16,31,
"Run-o-Waters",38,42,29,39,36,15,17,12,0,0,233,471,
"Running Stream",14,7,4,9,5,4,3,4,3,0,76,132,
"Runnyford",5,4,0,0,0,0,0,0,0,0,12,18,
"Ruse",233,372,434,304,512,253,311,258,28,16,2855,5583,
"Rushcutters Bay",284,682,95,133,171,111,13,52,14,10,980,2547,
"Rushes Creek",21,3,3,3,0,0,6,5,0,0,61,104,
"Rushforth",14,16,13,9,19,14,16,0,0,0,142,245,
"Russell Lea",505,769,233,206,370,243,59,101,25,5,2487,5000,
"Russell Vale",65,135,133,103,93,59,49,58,4,4,851,1544,
"Rutherford",365,478,883,553,575,557,605,659,50,37,7118,11887,
"Ruthven",12,12,12,0,4,6,0,5,0,0,54,105,
"Ryan (NSW)",3,0,0,0,0,0,0,0,0,0,4,18,
"Rydal",20,8,12,4,11,9,8,8,0,0,133,211,
"Rydalmere",354,704,455,278,522,283,187,239,36,29,3554,6640,
"Ryde",1858,3961,1520,1096,2057,1224,467,746,152,101,13328,26501,
"Rye Park",27,14,17,6,14,5,3,9,0,0,149,254,
"Ryhope",0,0,6,4,3,0,0,0,0,0,13,22,
"Rylstone",49,45,55,41,43,29,35,34,0,3,589,921,
"Sackville",21,23,28,13,28,11,11,17,0,0,157,302,
"Sackville North",26,19,16,10,19,7,15,21,3,0,180,314,
"Saddleback Mountain",0,6,10,0,0,0,0,0,0,0,44,70,
"Sadleir",37,76,135,116,91,69,127,144,12,5,2324,3135,
"Safety Beach (NSW)",49,104,57,41,53,32,24,52,0,3,513,933,
"Salamander Bay",186,264,268,214,212,217,91,182,16,19,3148,4814,
"Salisbury (NSW)",11,0,5,0,3,0,3,4,0,0,38,62,
"Salisbury Plains",27,5,4,0,5,0,0,8,0,0,36,88,
"Sallys Flat",0,0,0,0,0,0,0,0,0,0,7,12,
"Salt Ash",62,54,105,68,40,39,49,52,3,8,642,1127,
"Saltwater",0,0,0,0,0,0,0,0,0,0,6,6,
"San Isidore",27,32,39,21,22,19,10,14,0,0,190,384,
"San Remo (NSW)",137,145,274,262,199,198,192,299,20,14,2623,4355,
"Sancrox",42,54,44,38,40,17,11,25,3,0,293,573,
"Sanctuary Point",156,231,410,397,238,280,135,295,24,27,5025,7221,
"Sandbar",0,0,0,0,0,0,0,0,0,0,0,0,
"Sandgate (NSW)",3,11,11,4,0,3,9,6,0,0,253,303,
"Sandigo",31,4,0,0,4,5,0,5,0,3,35,87,
"Sandilands (NSW)",4,0,0,0,0,0,0,0,0,0,3,8,
"Sandon (NSW)",0,0,0,0,0,0,0,0,0,0,9,13,
"Sandringham (NSW)",124,142,56,60,81,63,18,31,9,9,643,1236,
"Sandy Beach",95,156,143,115,143,85,60,128,15,11,1331,2285,
"Sandy Creek (Cobar - NSW)",7,3,0,0,0,0,0,0,0,5,10,32,
"Sandy Creek (Upper Hunter Shire - NSW)",7,4,0,0,0,0,0,3,0,0,6,25,
"Sandy Crossing",0,0,0,0,0,0,0,0,0,0,34,35,
"Sandy Flat",20,3,9,0,6,4,0,7,0,0,35,86,
"Sandy Gully (NSW)",0,6,5,0,0,0,5,3,0,0,6,21,
"Sandy Hill",4,0,0,0,0,4,0,3,0,0,16,25,
"Sandy Hollow",6,8,10,6,8,9,15,13,0,4,100,170,
"Sandy Point (NSW)",78,66,45,32,50,26,12,11,3,0,260,588,
"Sanger",6,0,0,0,0,0,0,6,0,0,0,4,
"Sans Souci",721,1047,563,369,859,514,248,303,52,37,5587,10305,
"Sapphire",9,6,3,0,5,0,0,0,0,0,22,39,
"Sapphire Beach",162,259,89,105,149,108,30,66,7,9,1104,2081,
"Saratoga",252,430,306,198,249,215,72,149,16,4,2046,3944,
"Sassafras (NSW)",3,4,0,0,0,0,0,0,0,0,19,32,
"Saumarez",6,5,8,0,9,3,0,6,0,0,58,92,
"Saumarez Ponds",37,51,34,26,34,21,3,25,0,0,200,435,
"Savernake",29,3,0,3,5,5,3,4,0,0,45,96,
"Sawpit Creek",3,0,0,0,0,0,0,0,0,0,10,11,
"Sawtell",199,401,201,207,198,148,61,131,15,13,2107,3684,
"Sawyers Gully",21,28,46,26,35,20,38,29,0,0,252,498,
"Scarborough (NSW)",32,56,21,17,21,5,11,5,0,0,141,307,
"Scheyville",0,3,0,0,0,0,0,0,0,0,5,13,
"Schofields",296,539,382,238,423,220,193,203,25,17,2440,4979,
"Scone",279,380,440,213,252,216,328,391,26,8,3085,5625,
"Scotia",0,0,0,0,0,0,0,0,0,0,17,26,
"Scotland Island",61,107,41,25,28,23,6,20,0,0,277,579,
"Scotts Creek (NSW)",4,0,0,0,0,0,0,0,0,0,16,25,
"Scotts Flat",9,4,0,0,3,0,3,5,0,0,14,38,
"Scotts Head",35,72,51,42,30,24,15,40,7,0,582,898,
"Seaforth (NSW)",821,1212,229,264,449,270,42,101,48,17,3686,7137,
"Seaham",52,86,107,51,75,45,53,40,3,4,487,1007,
"Seahampton",14,23,30,10,22,13,20,13,0,5,153,298,
"Seal Rocks",0,4,0,0,0,0,0,0,0,0,37,46,
"Sebastopol (NSW)",21,7,3,3,5,0,0,6,0,3,18,57,
"Sedgefield",8,10,18,5,7,14,10,0,0,0,105,182,
"Seelands",35,24,36,18,19,12,18,24,0,0,234,416,
"Sefton",198,376,326,224,306,192,228,233,28,33,3661,5807,
"Segenhoe",35,18,17,4,10,0,10,37,3,0,104,225,
"Seven Hills (NSW)",827,1809,1214,822,1390,793,824,912,101,101,10526,19326,
"Seven Oaks",3,3,3,6,3,3,0,6,0,0,34,67,
"Sextonville",3,0,0,0,0,0,0,4,0,0,13,20,
"Shadforth (NSW)",12,5,10,4,12,0,0,0,0,0,40,81,
"Shallow Bay",7,0,0,0,0,0,0,4,0,0,37,47,
"Shalvey",49,70,135,129,147,111,233,207,13,28,2346,3464,
"Shanes Park",34,13,37,11,23,10,33,15,4,6,210,407,
"Shannon Brook",19,7,12,3,7,6,4,15,0,4,96,176,
"Shannon Vale",35,5,11,7,6,4,0,16,3,0,70,147,
"Shannondale",0,3,3,4,3,5,0,4,0,0,63,89,
"Shannons Flat",19,3,4,3,4,0,0,6,0,0,42,80,
"Shark Creek",7,0,5,0,0,0,0,0,0,0,18,24,
"Sharps Creek",3,0,0,0,0,0,0,0,0,0,8,20,
"Sheedys Gully",4,3,0,3,12,0,0,4,0,0,62,87,
"Shell Cove",360,581,398,302,360,297,186,199,37,8,2907,5624,
"Shellharbour",160,301,285,216,207,144,143,152,10,9,1940,3557,
"Shellharbour City Centre",4,9,8,15,3,9,0,3,0,0,186,243,
"Shelly Beach (NSW)",57,119,100,65,91,64,20,33,6,0,756,1312,
"Sherwood (Clarence Valley - NSW)",3,0,0,0,0,0,0,4,0,0,49,65,
"Sherwood (Kempsey - NSW)",14,11,19,6,9,8,8,7,0,0,68,146,
"Sherwood (Kyogle - NSW)",6,0,4,0,0,0,0,0,0,3,9,27,
"Shoal Bay (NSW)",58,74,79,75,51,51,23,76,0,5,1356,1866,
"Shoalhaven Heads",117,212,226,149,139,79,58,104,9,7,1974,3061,
"Shooters Hill",10,0,3,0,3,0,4,0,0,0,10,36,
"Shortland",99,263,269,205,194,189,160,225,15,14,2278,3905,
"Silent Grove",0,0,0,0,0,0,0,0,0,0,13,17,
"Silverdale (NSW)",266,261,358,165,339,180,180,179,30,18,1712,3680,
"Silverton (NSW)",12,7,3,0,0,0,0,3,0,0,28,50,
"Silverwater (Lake Macquarie - NSW)",14,23,27,13,10,13,7,15,0,0,185,298,
"Silverwater (Parramatta - NSW)",134,214,175,99,186,88,87,86,16,8,3065,4166,
"Simpkins Creek",0,5,4,0,4,0,3,0,0,0,7,23,
"Singleton (NSW)",182,305,378,204,216,179,382,264,21,16,2849,5003,
"Singleton Heights",152,233,378,254,249,204,419,210,15,11,2573,4688,
"Singleton Military Area",21,9,0,265,6,0,3,0,3,7,3,318,
"Singletons Mill",0,0,0,0,0,0,0,0,0,0,6,6,
"Six Mile Swamp",0,0,0,0,0,0,0,0,0,0,0,0,
"Skennars Head",69,124,67,61,70,60,17,47,3,4,619,1158,
"Skillion Flat",3,6,5,6,3,6,3,7,0,0,45,79,
"Skinners Shoot",9,5,10,3,0,6,0,3,0,0,88,127,
"Sleepy Hollow",8,17,12,6,3,0,3,0,0,0,47,102,
"Smeaton Grange",4,3,0,0,0,3,0,0,0,0,3,17,
"Smithfield (NSW)",289,519,686,440,609,388,555,549,54,55,7831,11977,
"Smiths Creek (Clarence Valley - NSW)",4,0,0,0,0,0,0,0,0,0,8,16,
"Smiths Creek (Kyogle - NSW)",5,6,3,4,0,0,4,4,0,0,35,60,
"Smiths Creek (Tweed - NSW)",22,26,20,11,8,3,7,18,0,0,190,302,
"Smiths Lake",39,66,94,49,36,44,24,56,4,5,824,1235,
"Smithtown",19,25,35,22,24,17,27,41,0,6,370,591,
"Snakes Plain",4,4,0,0,0,0,0,0,0,0,4,11,
"Snowball",0,0,0,0,0,0,0,0,0,0,0,0,
"Snowy Plain",0,0,0,0,0,0,0,0,0,0,0,0,
"Sodwalls",11,6,7,4,4,0,0,3,0,0,34,66,
"Sofala",11,4,3,0,5,3,0,5,0,0,96,128,
"Soldiers Point",82,92,105,74,67,55,31,50,12,9,854,1431,
"Somersby",105,87,82,38,83,37,26,33,8,7,554,1064,
"Somerton (NSW)",38,19,12,15,12,5,12,26,0,0,139,279,
"South Albury",77,132,103,81,78,66,44,75,14,8,710,1380,
"South Arm (Clarence Valley - NSW)",19,10,13,8,14,9,7,11,0,5,143,235,
"South Arm (Nambucca - NSW)",13,22,9,23,12,5,9,12,0,4,210,318,
"South Ballina",3,5,5,0,0,0,0,0,0,0,19,36,
"South Bathurst",39,128,111,82,76,55,41,92,7,8,953,1580,
"South Bowenfels",65,83,82,52,76,33,55,39,7,3,669,1160,
"South Coogee",481,808,156,232,309,190,36,63,26,20,3183,5500,
"South Durras",20,30,26,18,21,4,5,10,5,0,201,336,
"South Golden Beach",35,93,56,38,35,40,9,42,4,5,459,807,
"South Grafton",124,208,244,299,220,234,144,279,18,27,4267,6071,
"South Granville",102,222,287,159,193,134,151,206,21,38,3982,5500,
"South Gundagai",39,28,66,27,23,28,34,85,5,5,459,814,
"South Gundurimba",30,23,16,12,25,22,24,16,0,0,145,320,
"South Guyra",18,17,27,10,18,14,18,35,0,3,183,333,
"South Hurstville",253,531,269,267,361,240,140,201,34,21,2815,5145,
"South Kempsey",56,97,71,91,71,73,58,95,6,8,1669,2300,
"South Lismore",49,83,118,112,61,79,67,169,9,9,1132,1873,
"South Littleton",7,20,23,22,11,6,22,9,0,0,176,299,
"South Maitland",7,17,40,11,14,11,30,22,0,0,311,467,
"South Maroota",40,48,49,24,42,19,20,19,4,0,289,557,
"South Murwillumbah",52,42,64,47,35,40,36,72,6,9,706,1112,
"South Nowra",88,128,177,114,76,79,58,64,9,5,1140,1929,
"South Pambula",22,26,43,34,22,24,14,44,3,0,260,483,
"South Penrith",546,867,837,583,991,557,516,510,63,44,6271,11788,
"South Tamworth",168,266,432,286,262,288,173,543,19,15,4110,6564,
"South Turramurra",316,541,99,118,169,125,27,48,6,4,1626,3089,
"South Wentworthville",270,549,380,264,449,262,224,223,45,34,3504,6200,
"South West Rocks",153,194,204,197,170,156,79,201,14,13,3224,4602,
"South Windsor",240,297,488,309,401,246,289,347,35,18,3226,5893,
"South Wolumla",10,10,13,0,6,9,10,9,3,0,103,178,
"Southampton (NSW)",0,0,0,3,0,0,0,3,0,0,12,21,
"Southgate",21,10,12,14,13,4,7,10,0,4,80,184,
"Speers Point",177,338,212,178,220,165,102,95,20,6,1789,3317,
"Speewa",20,3,12,0,8,0,5,3,0,0,57,96,
"Spencer",6,5,16,12,5,7,15,18,0,0,208,304,
"Spicers Creek",21,5,0,4,0,0,0,3,0,0,44,75,
"Spicketts Creek",0,0,3,0,0,4,0,5,0,0,29,46,
"Splitters Creek",33,51,14,10,17,8,3,3,4,0,125,269,
"Spring Creek (NSW)",13,4,6,10,20,7,3,4,0,0,59,127,
"Spring Farm (NSW)",267,450,354,260,409,218,216,186,27,15,1901,4304,
"Spring Flat",20,18,16,3,14,7,12,8,0,0,109,202,
"Spring Grove",30,33,31,18,30,16,17,18,3,0,237,436,
"Spring Hill (Cabonne - NSW)",33,36,34,17,32,23,26,19,0,0,272,498,
"Spring Hill (Wollongong - NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"Spring Mountain (NSW)",0,0,0,0,0,0,0,5,0,0,16,15,
"Spring Plains",22,0,0,0,5,0,0,4,0,3,35,76,
"Spring Ridge",47,5,4,7,9,0,23,28,0,8,115,240,
"Spring Terrace",11,11,7,4,6,10,0,8,0,0,68,125,
"Springdale (NSW)",10,7,5,8,6,0,10,8,0,3,101,153,
"Springdale Heights",57,83,121,90,101,72,92,127,10,6,1279,2030,
"Springfield (Central Coast - NSW)",229,422,283,232,282,217,79,176,23,12,2156,4106,
"Springfield (Snowy Monaro Regional - NSW)",14,5,3,0,3,0,0,0,6,0,17,38,
"Springrange",36,35,21,19,27,8,3,17,0,0,136,297,
"Springside (NSW)",35,40,24,12,31,14,4,12,0,0,141,306,
"Springvale (Lithgow - NSW)",6,5,5,0,0,0,4,0,3,0,25,47,
"Springvale (Wagga Wagga - NSW)",127,230,139,90,149,112,25,63,6,9,783,1736,
"Springwood (NSW)",479,1258,506,425,556,266,137,246,36,18,4552,8474,
"St Albans (NSW)",14,16,10,4,9,3,3,9,0,0,96,161,
"St Andrews (NSW)",226,361,454,338,424,289,327,283,39,14,2985,5730,
"St Clair (Penrith - NSW)",906,1288,1573,1008,1940,1032,1310,1008,126,60,9647,19895,
"St Clair (Singleton - NSW)",0,0,0,0,0,0,0,0,0,0,0,9,
"St Fillans",18,6,13,3,16,16,16,5,0,0,140,241,
"St George (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"St Georges Basin",118,136,170,152,134,103,70,116,5,7,1900,2913,
"St Helens Park",271,381,462,371,505,335,397,370,34,21,3459,6604,
"St Huberts Island",88,79,65,51,74,59,9,37,6,3,597,1059,
"St Ives (NSW)",1818,2926,425,559,1103,780,105,223,106,34,9228,17301,
"St Ives Chase",355,534,80,107,188,153,13,39,15,3,1660,3152,
"St Johns Park",211,405,328,199,352,234,252,339,36,25,3739,6118,
"St Leonards (NSW)",695,1746,194,181,391,236,35,63,44,15,1900,5495,
"St Marys (NSW)",354,560,676,550,730,448,855,713,71,45,7189,12201,
"St Peters (NSW)",327,730,193,166,295,145,58,79,13,13,1119,3146,
"Stanborough",7,3,0,3,3,0,4,7,0,0,43,72,
"Stanbridge",29,0,9,6,9,3,6,20,0,4,127,202,
"Stanford Merthyr",16,17,47,30,22,24,32,37,3,3,328,552,
"Stanhope (NSW)",10,10,15,3,7,11,12,11,0,0,77,144,
"Stanhope Gardens",722,1293,476,372,782,444,241,235,34,21,4546,9160,
"Stanmore (NSW)",768,1964,341,395,589,289,69,168,49,24,3280,7940,
"Stannifer",4,0,0,6,0,6,0,0,0,0,58,76,
"Stannum",0,6,3,0,0,0,0,0,0,0,42,57,
"Stanwell Park",106,263,109,85,86,52,12,34,5,0,652,1410,
"Stanwell Tops",38,59,46,31,36,13,9,18,0,0,248,498,
"State Mine Gully",6,0,3,0,3,0,0,0,0,0,10,18,
"Steam Plains",0,0,0,0,0,0,0,0,0,0,0,4,
"Steeple Flat",5,4,0,0,0,8,0,6,0,0,13,36,
"Stewarts Brook",0,0,0,0,0,0,0,0,0,0,25,38,
"Stewarts River",8,6,7,9,7,5,3,3,0,0,65,117,
"Stockinbingal",35,18,15,12,12,3,16,21,4,0,241,373,
"Stockrington",14,5,3,5,10,0,4,4,0,0,49,83,
"Stockton (NSW)",158,329,289,201,233,97,116,172,21,6,2534,4161,
"Stockyard Creek (NSW)",0,0,0,3,0,0,5,0,0,0,36,42,
"Stokers Siding",40,59,47,28,18,27,20,29,4,4,391,663,
"Stonehenge (NSW)",19,5,5,7,9,3,5,4,0,0,58,128,
"Stonequarry",6,0,0,0,0,0,0,6,0,0,10,22,
"Stony Chute",9,13,8,9,3,0,0,10,0,0,118,166,
"Stony Creek (Bega Valley - NSW)",21,9,4,12,6,8,10,5,0,0,68,138,
"Stony Creek (Mid-Western Regional - NSW)",6,5,3,0,4,0,4,0,0,0,21,48,
"Stony Crossing",3,0,0,0,0,0,0,0,0,0,9,14,
"Stotts Creek",0,0,0,0,0,0,0,0,0,0,5,5,
"Stratford (NSW)",14,8,4,8,0,0,3,8,0,0,95,148,
"Strathcedar",4,0,10,7,4,3,0,8,0,0,44,82,
"Stratheden",28,13,19,9,6,5,8,19,0,0,103,215,
"Strathfield (NSW)",1477,4395,1285,1122,1708,1272,361,1066,192,145,12786,25809,
"Strathfield South",227,528,191,143,289,141,97,101,19,14,1798,3542,
"Stroud",59,50,59,43,43,29,33,46,4,3,568,933,
"Stroud Hill",3,4,4,0,0,0,4,0,0,0,15,26,
"Stroud Road",17,7,15,6,8,9,17,15,0,0,131,229,
"Stuart Town",13,7,8,21,6,0,9,22,0,0,144,234,
"Stuarts Point",31,29,15,35,16,17,20,51,4,0,550,770,
