Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Arrawarra Headland",31,57,29,29,22,14,11,33,0,4,317,553,
"Artarmon",799,2146,352,410,633,352,80,203,59,26,4468,9525,
"Arthurville",6,10,3,0,4,0,0,0,0,0,11,37,
"Arumpo",15,0,4,0,0,0,0,0,0,0,12,33,
"Ashbury",240,505,196,129,260,159,49,97,15,0,1680,3326,
"Ashby (NSW)",12,20,20,16,11,6,8,12,0,0,211,329,
"Ashby Heights",7,12,16,8,10,10,4,11,0,0,156,229,
"Ashby Island",0,0,0,0,0,0,0,0,0,0,14,16,
"Ashcroft",49,77,136,112,107,78,145,157,20,19,2691,3581,
"Ashfield (NSW)",1264,3760,1301,1373,1640,1029,463,1168,137,100,11613,23839,
"Ashford (NSW)",57,19,21,35,9,12,15,40,6,0,444,647,
"Ashley",30,16,20,20,20,12,26,33,0,0,190,364,
"Ashmont",81,117,236,180,138,161,125,250,6,11,2530,3830,
"Ashtonfield",259,491,347,244,322,216,183,182,15,16,2370,4647,
"Asquith",222,557,176,187,241,119,48,100,12,4,1701,3378,
"Atholwood",11,4,0,0,0,0,8,4,0,0,51,81,
"Attunga",48,34,33,28,32,15,29,43,4,3,293,573,
"Auburn (NSW)",899,1932,2682,1492,1291,1477,1295,2530,194,288,23295,37370,
"Auburn Vale",12,15,16,5,4,0,0,10,0,0,62,124,
"Austinmer",185,531,130,108,129,72,32,46,3,3,1317,2560,
"Austral",189,136,220,90,171,119,141,111,15,16,1821,3022,
"Austral Eden",20,13,9,8,4,7,8,17,0,0,69,146,
"Avalon Beach",904,1425,646,466,641,465,79,255,62,28,4931,9908,
"Avisford",3,0,8,0,0,0,0,0,0,0,17,27,
"Avoca (NSW)",25,19,11,9,13,12,0,7,0,5,97,202,
"Avoca Beach",323,649,304,265,271,205,62,149,21,8,2328,4585,
"Avon (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"Avondale (NSW)",65,97,148,92,110,80,66,78,5,3,913,1654,
"Avonside",21,5,6,7,7,0,4,4,0,0,69,122,
"Awaba",19,28,32,12,25,16,24,24,0,0,221,400,
"Aylmerton",19,19,17,9,12,10,7,10,0,0,80,187,
"Baan Baa",23,3,9,8,8,3,16,12,0,0,89,163,
"Babinda (NSW)",0,0,0,0,0,0,0,0,0,0,0,3,
