Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by LANP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LANP - 1 Digit Level","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Supplementary codes","Not stated","Total",
"Main Creek",80,8,0,0,0,0,0,0,0,0,3,85,
"Mairjimmy",43,0,0,0,0,0,0,0,0,0,6,54,
"Maison Dieu",141,0,0,0,0,0,4,0,0,0,31,180,
"Maitland (NSW)",1632,3,6,0,39,11,10,0,4,6,172,1884,
"Maitland Bar",18,0,0,0,0,0,0,0,0,0,6,21,
"Maitland Vale",119,0,0,0,0,0,0,0,0,0,14,137,
"Majors Creek (NSW)",221,13,0,0,0,3,0,0,0,0,18,252,
"Malabar",2794,269,118,90,26,40,176,0,11,3,1900,5423,
"Maldon (NSW)",14,0,0,0,0,0,0,0,0,0,5,19,
"Mallabula",848,5,0,0,0,0,0,0,0,4,72,932,
"Mallan",52,0,0,0,0,0,0,0,0,0,0,52,
"Mallanganee",136,0,0,0,0,0,0,0,0,0,9,148,
"Mallee",8,0,0,0,0,0,0,0,0,0,0,8,
"Mallowa",70,0,0,0,0,0,0,0,3,0,24,103,
"Maloneys Beach",341,8,0,0,0,0,0,0,0,0,14,369,
"Malua Bay",1698,21,28,0,3,7,4,0,6,3,159,1934,
"Manar",104,5,0,0,0,0,0,0,0,0,10,121,
"Manchester Square",14,0,0,0,0,0,0,0,0,0,0,19,
"Mandagery",62,0,0,0,0,0,0,0,0,0,0,68,
"Mandalong",389,0,0,0,0,9,0,0,0,0,29,431,
"Mandemar",63,0,0,0,0,0,0,0,0,0,0,63,
"Mandurama",310,0,5,0,0,0,0,0,0,0,41,356,
"Mangerton",2219,115,98,51,44,30,85,0,38,4,177,2857,
"Mangoola",45,0,0,0,0,0,0,0,0,0,8,51,
"Mangoplah",254,0,0,0,0,0,0,0,0,0,59,308,
"Mangrove Creek",24,5,0,0,0,0,0,0,0,0,8,36,
"Mangrove Mountain",545,65,7,17,0,0,25,7,0,0,44,714,
"Manildra",671,0,6,0,0,3,0,0,0,0,84,763,
"Manilla",2276,6,0,0,3,0,7,0,4,0,239,2548,
"Manly (NSW)",12430,1195,255,52,38,156,263,0,27,30,1427,15863,
"Manly Vale",4455,389,195,51,156,153,301,0,49,18,395,6167,
"Mannering Park",2303,15,10,0,5,12,3,5,0,3,121,2472,
"Manning Point",208,5,0,0,0,0,6,0,0,0,31,245,
"Mannus",60,0,0,0,0,0,0,0,0,0,160,222,
"Manobalai",67,0,0,0,0,0,0,0,0,0,3,70,
"Manton (NSW)",274,4,0,0,0,0,0,0,0,0,18,290,
"Manyana",480,0,8,0,0,0,0,0,0,0,31,523,
"Maragle",59,0,0,0,0,0,0,0,0,0,8,60,
"Maraylya",1097,32,8,16,0,0,14,0,0,0,69,1242,
"Marayong",4277,298,324,321,1127,665,194,0,198,32,268,7706,
"March",111,0,0,0,0,0,0,0,0,0,4,117,
"Marchmont",217,6,0,0,0,0,0,0,0,0,4,226,
"Mardi",3032,63,24,29,92,54,94,4,18,11,272,3681,
"Marengo (NSW)",11,0,0,0,0,0,0,0,0,0,0,11,
"Mares Run",0,0,0,0,0,0,0,0,0,0,0,0,
"Marinna",34,0,0,0,0,0,0,0,0,0,15,48,
"Marks Point",1675,5,4,0,4,12,14,6,5,3,97,1824,
"Markwell",107,0,0,0,0,0,0,0,0,0,7,115,
"Marlee",181,0,0,0,0,3,0,0,0,0,34,217,
"Marlo Merrican",50,6,0,0,0,0,0,0,0,0,15,69,
"Marlow",14,0,0,0,0,0,0,0,0,0,3,21,
"Marlowe",0,0,0,0,0,0,0,0,0,0,0,0,
"Marmong Point",723,8,0,0,0,3,0,0,8,0,17,757,
"Marom Creek",120,0,0,0,0,0,0,0,0,0,3,130,
"Maroota",514,34,0,6,0,5,0,0,0,0,59,619,
"Maroubra",17353,3783,1232,763,331,1335,3907,4,98,66,1813,30686,
"Marrangaroo",443,3,5,0,0,0,0,0,0,0,461,909,
"Marrar",339,0,0,0,0,0,0,0,0,0,23,368,
"Marrickville",14988,3399,376,1025,693,2781,1154,14,232,65,1862,26590,
"Marsden Park",670,64,3,5,62,44,25,0,22,3,121,1003,
"Marsfield",5527,529,237,527,627,597,4633,0,55,60,498,13295,
"Marshall Mount",135,4,0,0,0,0,0,0,0,0,7,145,
"Marshdale",36,0,0,0,0,0,0,0,0,0,6,42,
"Marthaguy",58,0,0,0,0,0,0,0,0,0,3,58,
"Martindale",137,0,0,0,0,0,0,0,0,0,26,161,
"Martins Creek",346,0,0,0,0,0,0,0,0,0,41,385,
"Martinsville",318,8,0,0,0,0,0,0,0,0,41,365,
"Marulan",1062,13,9,6,5,11,3,0,0,0,64,1178,
"Maryland (Newcastle - NSW)",6756,60,207,39,98,93,148,4,48,16,224,7691,
"Maryland (Tenterfield - NSW)",53,0,0,0,0,0,0,0,4,0,0,53,
"Marys Mount",71,0,0,0,0,0,0,0,0,0,7,69,
"Maryvale (NSW)",178,0,0,0,0,0,0,0,0,0,17,192,
"Maryville",1331,34,12,0,4,7,0,0,5,0,55,1447,
"Mascot",6404,1420,366,456,774,1746,2545,4,116,39,896,14771,
"Matcham",898,9,4,7,3,0,19,0,0,0,46,987,
"Matheson",54,0,0,0,0,0,0,0,0,0,0,54,
"Mathoura",881,0,4,0,0,3,0,0,0,0,53,940,
"Matong",129,3,0,0,0,0,0,0,0,0,35,168,
"Matraville",6105,913,330,304,157,359,864,17,79,18,651,9804,
"Maude (NSW)",71,0,0,0,0,0,0,0,0,0,9,86,
"Maules Creek",106,0,0,0,0,0,0,0,0,0,3,111,
"Maxwell",83,5,0,0,0,0,0,0,0,0,3,94,
"Maybole",40,0,0,0,0,0,0,0,0,0,0,45,
"Mayers Flat",48,0,0,0,0,0,0,0,0,0,0,49,
"Mayfield (Newcastle - NSW)",7968,113,143,52,101,152,93,6,93,17,570,9312,
"Mayfield (Oberon - NSW)",4,0,0,0,0,0,0,0,0,0,0,4,
"Mayfield (Queanbeyan-Palerang Regional - NSW)",9,0,0,0,0,0,0,0,3,0,0,21,
"Mayfield (Shoalhaven - NSW)",27,0,0,0,0,0,0,0,0,0,11,37,
"Mayfield East",1480,41,24,0,6,11,13,0,16,3,83,1687,
"Mayfield North",0,0,0,0,0,0,0,0,0,0,0,0,
"Mayfield West",1690,16,29,5,18,39,19,6,3,8,74,1896,
"Mayrung",126,0,0,0,0,5,0,0,0,0,21,146,
"Mays Hill",265,29,0,116,198,22,64,0,22,0,55,767,
"Mayvale",17,0,0,0,0,0,0,0,0,0,0,17,
"McCullys Gap",243,0,0,0,0,0,0,0,0,0,6,246,
"McDougalls Hill",140,0,0,0,0,0,0,0,0,0,3,141,
"McGraths Hill",2326,38,13,20,9,14,25,0,12,3,84,2555,
"McKees Hill",332,0,0,0,0,0,0,0,0,0,14,352,
"McKellars Park",207,0,0,0,0,0,0,0,0,0,15,223,
"McLeans Ridges",468,4,0,0,0,0,4,0,0,0,36,515,
"McLeods Shoot",86,8,0,0,0,0,0,0,0,4,10,101,
"McMahons Point",1765,89,21,25,26,42,92,0,0,8,218,2280,
"McMahons Reef",55,0,0,0,0,0,0,0,0,0,3,53,
"Meadow Flat",281,4,3,0,0,0,0,0,0,3,21,313,
"Meadowbank (NSW)",1618,123,92,172,566,207,1453,0,23,26,129,4408,
"Mebbin",0,0,0,0,0,0,0,0,0,0,0,0,
"Mebul",37,0,0,0,0,0,0,0,0,0,0,41,
"Medlow Bath",515,14,3,4,4,34,5,0,0,0,30,616,
"Medowie",8744,71,42,14,4,44,39,0,17,6,599,9563,
"Medway",98,0,0,0,0,0,3,0,0,0,18,122,
"Meerschaum Vale",361,0,0,0,0,0,0,0,3,0,28,398,
"Megalong Valley",110,0,6,0,0,5,7,0,0,0,29,149,
"Megan",136,0,0,0,0,0,0,0,0,0,18,152,
"Melbergen",0,0,0,0,0,0,0,0,0,0,0,0,
"Melinga",98,0,0,0,0,0,0,0,0,0,3,106,
"Mellong",4,0,0,0,0,0,0,0,0,0,0,4,
"Mellool",37,0,0,0,0,0,0,0,0,0,6,46,
"Melrose Park (NSW)",1055,55,36,66,21,38,228,0,16,6,50,1572,
"Melville (NSW)",57,0,0,0,0,0,0,0,0,0,5,57,
"Memagong",85,0,0,0,0,0,0,0,0,0,4,91,
"Menah",126,0,0,0,0,0,0,0,0,0,19,150,
"Menai",8355,494,328,210,110,147,315,0,22,22,299,10306,
"Menangle",1025,19,12,3,0,4,11,0,6,0,78,1146,
"Menangle Park",233,0,0,0,0,0,0,0,0,0,14,254,
"Mendooran",496,8,0,3,0,0,0,0,0,0,50,564,
"Menindee",463,0,0,0,0,0,0,0,7,0,82,552,
"Merah North",161,0,0,0,0,0,0,0,0,0,22,184,
"Merewether",9969,239,83,15,48,34,67,0,25,5,477,10963,
"Merewether Heights",1246,30,12,0,7,0,7,0,0,0,87,1400,
"Merimbula",3128,38,14,3,5,38,14,0,3,0,296,3544,
"Meringo",96,3,0,0,0,0,0,0,0,0,0,97,
"Mernot",0,0,0,0,0,0,0,0,0,0,0,0,
"Meroo",33,0,0,0,0,0,0,0,0,0,3,38,
"Meroo Meadow",433,0,0,0,5,0,5,0,0,0,31,479,
"Merotherie",10,4,0,0,0,0,0,0,0,0,11,22,
"Merriangaah",8,0,0,0,0,0,0,0,0,0,0,8,
"Merricumbene",13,0,0,0,0,0,0,0,0,0,0,13,
"Merrigal",30,0,0,0,0,0,0,0,0,0,0,30,
"Merrill",31,0,0,0,0,0,0,0,0,0,0,33,
"Merriwa (NSW)",1554,0,0,0,9,7,0,0,0,3,179,1761,
"Merriwagga",104,0,0,0,0,0,0,0,0,0,3,105,
"Merrygoen",98,0,0,0,0,0,0,0,0,0,11,116,
"Merrylands",8738,1049,805,10147,2519,1222,2617,0,797,130,1632,29650,
"Merrylands West",2684,323,166,1867,356,242,346,0,193,30,386,6588,
"Merungle Hill",203,7,0,0,0,0,0,0,0,0,50,258,
"Meryla",4,0,0,0,0,0,0,0,0,0,4,7,
"Metford",4194,28,25,21,75,64,53,5,73,3,235,4761,
"Methul",46,0,0,0,0,0,0,0,0,0,0,56,
"Metz",105,0,0,0,0,0,0,0,0,0,3,107,
"Miamley",0,0,0,0,0,0,0,0,0,0,0,0,
"Miandetta (NSW)",23,0,0,0,0,0,0,0,0,0,12,40,
"Micalo Island",33,4,0,0,0,0,0,0,0,0,0,34,
"Michelago",509,4,7,0,0,0,0,0,0,0,42,564,
"Middle Arm",344,0,0,0,0,0,0,0,0,0,6,362,
"Middle Brook",202,0,0,0,0,0,0,0,0,0,27,229,
"Middle Brother",47,0,0,0,0,0,3,0,0,0,0,48,
"Middle Cove",1052,34,20,10,0,9,141,0,0,0,61,1339,
"Middle Dural",793,75,23,29,13,3,25,0,0,3,55,1014,
"Middle Falbrook",91,0,0,0,0,0,0,0,0,0,5,91,
"Middle Flat",48,0,0,0,0,0,0,0,0,0,5,51,
"Middle Pocket",118,0,0,3,3,0,0,0,0,0,16,141,
"Middleton Grange",2151,339,340,1033,376,382,142,0,43,34,338,5177,
"Middlingbank",10,0,0,0,0,0,0,0,0,0,3,17,
"Midginbil",55,0,0,0,0,0,0,0,0,0,11,68,
"Mihi",33,0,0,0,0,0,0,0,0,0,6,33,
"Mila",42,0,0,0,0,0,0,0,0,0,0,42,
"Milbrodale",108,0,0,0,0,0,0,0,0,0,13,119,
"Milbrulong",85,0,0,0,0,0,0,0,0,0,13,92,
"Milkers Flat",5,0,0,0,0,0,0,0,0,0,0,5,
"Millah Murrah",23,0,0,0,0,0,0,0,0,0,4,28,
"Millbank (NSW)",103,0,0,0,0,0,0,0,0,0,15,121,
"Miller",1454,82,73,652,101,388,20,0,111,8,353,3240,
"Millers Forest",318,0,0,0,0,0,0,0,4,0,10,336,
"Millers Point",903,73,30,23,31,35,142,0,0,3,234,1485,
"Millfield",861,5,0,0,3,0,3,0,0,0,137,1005,
"Millie",18,0,0,0,0,0,0,0,0,0,9,29,
"Millingandi",410,4,4,0,0,0,0,0,0,0,32,450,
"Millthorpe",1164,6,0,0,0,0,4,0,0,0,87,1256,
"Milparinka",65,0,0,0,0,0,0,0,0,0,8,77,
"Milperra",3207,176,50,144,34,111,102,0,12,3,121,3952,
"Milroy (Gunnedah - NSW)",67,0,0,0,0,0,0,0,0,0,10,73,
"Milroy (Mid-Western Regional - NSW)",47,0,0,0,0,0,0,0,0,0,3,50,
"Milsons Passage",11,0,0,0,0,0,0,0,0,0,4,13,
"Milsons Point",1239,96,27,48,51,43,436,0,3,0,219,2161,
"Milton (NSW)",1499,16,6,4,0,0,3,0,5,0,129,1668,
"Milvale",68,0,0,0,0,0,0,0,0,0,3,72,
"Mimosa (NSW)",85,0,0,0,0,0,0,0,0,0,3,87,
"Minchinbury",3332,217,141,512,386,535,86,0,232,23,149,5623,
"Mindaribba",76,0,0,0,0,0,0,0,0,0,0,76,
"Mingoola (NSW)",17,0,0,0,0,0,0,0,0,0,0,20,
"Minimbah",184,5,0,0,0,0,0,0,0,0,18,206,
"Minjary",37,0,0,0,0,0,0,0,0,0,0,37,
"Minmi",730,0,4,0,0,0,0,0,5,3,6,743,
"Minnamurra",702,5,8,3,0,3,0,0,0,0,40,758,
"Minnie Water",211,0,0,0,0,0,0,0,0,0,25,235,
"Minore",148,0,0,0,0,0,0,0,0,0,0,148,
"Minto",6075,336,141,457,3143,810,220,0,697,64,603,12547,
"Minto Heights",281,15,25,15,0,12,7,0,0,0,21,380,
"Mirador",349,6,0,0,0,0,5,0,0,0,14,373,
"Miranda (NSW)",11359,880,446,222,317,347,807,0,95,35,772,15284,
"Mirannie",65,0,0,0,0,0,0,0,0,0,7,73,
"Mirrabooka (NSW)",667,14,14,6,0,0,4,0,0,0,25,728,
"Mirrool",80,0,0,0,0,0,0,0,0,0,9,89,
"Missabotti",273,0,0,0,0,0,0,0,0,0,17,295,
"Mitchell (NSW)",491,5,4,7,15,9,8,4,3,0,772,1313,
"Mitchells Flat",199,4,0,0,0,0,0,0,0,0,8,208,
"Mitchells Island",425,0,3,0,0,4,0,0,3,0,31,467,
"Mittagong",5070,124,30,14,75,40,37,0,10,5,360,5768,
"Moama",5607,27,6,8,41,33,22,0,0,3,418,6165,
"Modanville",553,7,0,0,6,6,0,0,0,0,49,623,
"Mogareeka",47,0,0,0,0,0,0,0,0,0,4,59,
"Mogendoura",175,0,5,0,0,0,0,0,0,0,0,186,
"Moggs Swamp",27,0,0,0,0,0,0,0,0,0,0,30,
"Mogilla",73,0,0,0,0,0,0,0,0,0,0,79,
"Mogo (Eurobodalla - NSW)",285,5,0,0,0,0,0,0,0,0,34,322,
"Mogo (Mid-Western Regional - NSW)",6,0,0,0,0,0,0,0,0,0,0,6,
"Mogo Creek",0,0,0,0,0,0,0,0,0,0,0,0,
"Mogood",24,0,0,0,0,0,0,0,0,0,3,24,
"Mograni",29,0,0,0,0,0,0,0,0,0,5,30,
"Mogriguy",101,0,0,0,0,0,0,0,0,0,11,108,
"Mole River",54,0,0,0,0,0,5,0,0,0,6,66,
"Moleville Creek",24,0,0,0,0,0,0,0,0,0,4,34,
"Mollyan",32,0,0,0,0,0,0,0,0,0,3,31,
"Mollymook",965,13,20,0,3,6,6,0,0,0,67,1078,
"Mollymook Beach",2217,32,20,9,0,8,11,0,0,0,158,2447,
"Molong",2367,15,9,0,3,12,5,4,0,0,172,2579,
"Mona Vale",9220,253,306,46,57,73,126,0,21,8,554,10674,
"Monak",34,0,0,0,0,0,0,0,0,0,10,52,
"Monaltrie",185,0,0,0,0,0,5,0,0,0,3,201,
"Mondayong",0,0,0,0,0,0,0,0,0,0,0,0,
"Mondrook",165,0,0,0,0,0,0,0,0,0,8,175,
"Monga",10,0,0,0,0,0,0,0,0,0,0,14,
"Mongarlowe",104,0,0,0,0,0,0,0,0,0,14,119,
"Mongogarie",76,4,0,0,0,0,0,0,0,0,0,81,
"Monia Gap",10,0,0,0,0,0,0,0,0,0,0,10,
"Monivae",29,0,0,0,0,0,0,0,0,0,0,33,
"Monkerai",66,0,0,0,0,0,0,0,0,0,4,73,
"Monteagle",198,0,0,3,0,0,5,0,0,0,9,207,
"Montecollum",48,0,0,0,0,0,0,0,0,0,6,56,
"Montefiores",515,0,0,0,0,0,0,0,5,0,64,595,
"Monterey",2067,1135,315,415,83,86,168,0,15,16,236,4526,
"Mooball",177,8,0,3,0,0,0,0,0,0,13,197,
"Moobi",144,0,0,0,0,0,0,0,0,0,8,154,
"Moogem",0,0,0,0,0,0,0,0,0,0,0,0,
"Mookerawa",6,0,0,0,0,0,0,0,0,0,0,6,
"Mookima Wybra",28,0,0,0,0,0,0,0,0,0,3,32,
"Moolarben",14,0,0,0,0,0,0,0,0,0,6,15,
"Moollattoo",0,0,0,0,0,0,0,0,0,0,0,0,
"Moolpa",9,0,0,0,0,0,0,0,0,0,0,9,
"Moombooldool",28,0,0,0,0,0,0,0,0,0,3,31,
"Moonan Brook",25,0,0,0,0,0,0,0,0,0,0,25,
"Moonan Flat",110,0,0,0,0,0,0,0,0,0,20,127,
"Moonbah",541,5,3,0,0,0,3,0,0,0,28,572,
"Moonbi",1014,0,0,0,0,0,0,0,0,3,103,1124,
"Moonbria",5,0,0,0,0,0,0,0,0,0,0,6,
"Mooneba",77,0,0,0,0,0,0,0,0,0,4,82,
"Moonee",0,0,0,0,0,0,0,0,0,0,0,0,
"Moonee Beach",1790,19,13,0,9,0,7,0,4,4,88,1936,
"Mooney Mooney",294,7,3,0,0,0,0,0,0,0,5,308,
"Mooney Mooney Creek",24,0,0,0,0,0,0,0,0,0,0,28,
"Moonpar",8,0,0,0,0,0,0,0,0,0,3,13,
"Mooral Creek",72,0,0,0,0,0,0,0,0,0,10,83,
"Moorara",0,0,0,0,0,0,0,0,0,0,6,6,
"Moorbel",218,0,0,0,0,0,6,0,0,0,10,235,
"Moore Creek",2236,6,0,0,22,0,8,0,0,0,95,2366,
"Moore Park",9,0,0,0,0,0,3,0,0,0,17,28,
"Moorebank",5565,910,279,708,634,740,366,0,147,29,367,9750,
"Moorilda",26,0,0,0,0,0,0,0,0,0,0,26,
"Moorland (NSW)",452,0,0,0,0,0,0,0,0,0,36,496,
"Moorong",157,0,0,0,0,0,0,0,0,0,22,181,
"Moorwatha",36,0,0,0,0,0,0,0,0,0,9,43,
"Moparrabah",90,0,0,0,0,6,0,0,0,0,7,107,
"Moppy",12,0,0,0,0,0,0,0,0,0,3,11,
"Morago",33,0,0,0,0,0,0,0,0,0,6,37,
"Morangarell",32,0,0,0,0,0,0,0,0,0,3,38,
"Morans Crossing",70,0,0,0,0,0,0,0,0,0,0,72,
"Moree",7827,43,51,13,86,65,42,14,36,5,1133,9311,
"Morisset",2862,27,8,8,50,39,20,0,15,0,179,3215,
"Morisset Park",687,7,0,0,4,0,0,0,4,0,33,743,
"Morning Bay",22,3,0,0,0,0,0,0,0,0,16,34,
"Mororo",76,0,0,0,0,0,0,0,0,0,7,85,
"Morpeth",1333,9,0,0,0,5,6,0,0,0,48,1403,
"Mortdale",5719,573,616,216,647,338,1693,0,58,42,511,10422,
"Mortlake (NSW)",605,90,18,44,21,13,178,0,3,3,90,1062,
"Morton",183,0,4,0,0,0,0,0,0,0,24,214,
"Mortons Creek",246,0,0,0,0,0,0,0,0,0,28,283,
"Morts Estate",561,4,0,7,0,0,0,0,0,0,60,628,
"Morundah",65,0,0,0,0,0,0,0,0,0,5,70,
"Moruya",3586,27,10,3,22,22,4,7,0,3,301,3982,
"Moruya Heads",902,0,6,0,0,0,0,0,0,0,54,975,
"Morven (Glen Innes Severn - NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"Morven (Greater Hume Shire - NSW)",127,0,0,0,0,0,0,0,0,0,13,133,
"Mosman",22736,1204,496,181,292,306,1206,0,32,45,1977,28476,
"Moss Vale",7517,119,44,18,96,82,200,0,21,6,474,8578,
"Mossgiel",28,0,0,0,0,0,0,0,0,0,9,37,
"Mossy Point",532,4,3,0,0,3,0,0,0,0,29,568,
"Moto",117,0,0,0,0,0,0,0,0,0,17,129,
"Moulamein",410,3,0,0,5,9,0,0,0,0,53,482,
"Mount Adrah",31,0,0,0,0,0,0,0,0,0,6,39,
"Mount Annan",9722,408,215,210,301,206,172,0,96,28,338,11704,
"Mount Aquila",0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Arthur",150,4,0,0,0,0,0,0,0,0,15,166,
"Mount Austin",3497,13,12,43,35,74,11,4,55,9,205,3958,
"Mount Burrell",185,0,0,0,0,0,0,0,0,0,32,217,
"Mount Colah",5720,175,94,153,200,120,421,0,29,17,165,7096,
"Mount Collins",11,0,0,0,0,0,0,0,0,0,4,12,
"Mount Cooper (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Darragh",19,0,0,0,0,0,0,0,0,0,8,26,
"Mount David",37,0,0,0,0,0,0,0,0,0,4,41,
"Mount Dee",7,0,0,0,0,0,0,0,0,0,0,7,
"Mount Druitt",5808,342,332,2866,3310,2062,297,5,776,80,848,16731,
"Mount Elliot (NSW)",160,0,0,0,0,0,0,0,0,0,8,167,
"Mount Fairy",193,0,0,0,0,0,0,0,0,0,10,206,
"Mount Foster",0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Frome",112,7,0,0,0,0,0,0,0,0,18,137,
"Mount George (NSW)",248,0,0,0,0,4,0,0,0,0,34,289,
"Mount Harris",18,0,0,0,0,0,0,0,0,0,0,18,
"Mount Hope (NSW)",19,0,0,0,0,0,0,0,0,0,0,18,
"Mount Horeb",29,0,0,0,0,0,0,0,0,0,0,29,
"Mount Hunter",660,11,10,6,0,0,0,0,0,0,39,733,
"Mount Hutton (NSW)",3250,23,36,4,23,22,25,0,14,3,134,3531,
"Mount Irvine",16,0,0,0,0,0,0,0,0,0,14,30,
"Mount Keira",1382,83,59,26,6,9,26,0,3,3,67,1666,
"Mount Kembla",970,25,12,9,0,5,3,0,0,3,42,1063,
"Mount Kingiman",5,0,0,0,0,0,0,0,0,0,0,5,
"Mount Knowles",30,0,0,0,0,0,0,0,0,0,8,41,
"Mount Kuring-Gai",1411,24,12,8,49,30,96,0,8,0,59,1704,
"Mount Lambie",71,0,0,0,0,0,0,0,0,0,8,75,
"Mount Lewis",334,82,32,573,28,45,49,0,5,6,43,1193,
"Mount Lindsey",0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Marsden",49,0,0,0,0,0,0,0,0,0,6,60,
"Mount Marsh",8,0,0,0,0,0,0,0,0,0,0,8,
"Mount Mitchell",79,0,0,0,0,0,0,0,0,0,5,82,
"Mount Murray",51,0,0,0,0,0,0,0,0,0,5,52,
"Mount Olive (Oberon - NSW)",13,0,0,0,0,0,0,0,0,0,4,17,
"Mount Olive (Singleton - NSW)",140,0,0,0,0,0,0,0,0,0,8,146,
"Mount Ousley",1333,83,27,28,11,13,56,0,0,0,41,1599,
"Mount Panorama",88,0,0,0,0,0,0,0,0,0,30,121,
"Mount Pleasant (NSW)",1125,49,34,32,9,15,36,0,8,4,63,1372,
"Mount Pritchard",3595,651,776,954,135,2409,447,0,331,36,614,9951,
"Mount Rankin",349,0,7,0,0,0,0,0,0,0,25,378,
"Mount Rivers",43,0,0,0,0,0,0,0,0,0,4,47,
"Mount Riverview",2818,39,43,11,8,20,23,0,4,4,65,3031,
"Mount Royal",15,0,0,0,0,0,0,0,0,0,6,25,
"Mount Russell",87,0,0,0,0,0,0,0,0,0,22,108,
"Mount Saint Thomas",1151,57,126,11,6,27,6,0,11,4,77,1465,
"Mount Seaview",17,0,0,0,0,0,0,0,0,0,12,26,
"Mount Tenandra",14,0,0,0,0,0,0,0,0,0,0,15,
"Mount Thorley",60,0,0,0,0,0,0,0,0,0,12,70,
"Mount Tomah",58,0,0,0,0,0,0,0,0,0,11,74,
"Mount Vernon",691,150,89,105,6,28,24,0,0,0,96,1185,
"Mount Victoria",858,26,3,0,0,6,6,3,0,0,111,1017,
"Mount View",82,0,0,0,0,0,5,0,0,0,39,123,
"Mount Vincent",331,8,0,0,0,0,3,0,0,0,27,364,
"Mount Warning",75,0,0,0,0,6,0,0,0,0,18,95,
"Mount Warrigal",4102,222,159,79,12,43,22,0,11,10,235,4906,
"Mount Werong",4,0,0,0,0,0,0,0,0,0,0,4,
"Mount White",155,4,0,6,0,0,0,0,0,0,18,180,
"Mount Wilson",61,0,0,0,0,0,0,0,0,0,35,102,
"Mountain Creek (NSW)",48,0,0,0,0,0,0,0,0,0,0,48,
"Mountain Lagoon",76,0,0,0,0,0,0,0,0,0,11,85,
"Mountain Top",45,0,0,0,0,0,0,0,0,0,13,64,
"Mountain View (NSW)",171,0,0,0,0,0,0,0,0,0,19,189,
"Mourquong",57,5,4,0,0,0,0,0,0,0,16,78,
"Mowbray Park",82,5,0,0,0,0,0,0,0,0,9,93,
"Mozart",41,0,0,0,0,0,0,0,0,0,7,55,
"Mudgee",9707,60,35,6,38,73,52,5,23,10,911,10922,
"Mulbring",554,0,0,0,0,0,0,0,0,0,32,596,
"Mulgoa",1571,76,26,55,21,5,27,0,0,0,115,1898,
"Mulgrave (NSW)",61,0,0,0,0,0,20,0,0,0,9,90,
"Mulguthrie",0,0,0,0,0,0,0,0,0,0,5,5,
"Muli Muli",44,0,0,0,0,0,0,0,0,0,0,50,
"Mulla",10,0,0,0,0,0,0,0,0,0,3,14,
"Mulla Creek",79,0,0,0,0,0,0,0,0,0,12,91,
"Mullaley",151,0,0,0,0,0,0,0,0,0,3,155,
"Mullamuddy",60,0,0,0,0,0,0,0,0,0,8,65,
"Mullaway",489,4,0,0,0,5,9,0,0,0,57,566,
"Mullengandra",116,0,0,0,0,0,0,0,0,0,6,121,
"Mullengudgery",53,0,0,0,0,0,0,0,0,0,3,55,
"Mullion",84,0,0,0,0,0,0,0,0,0,5,88,
"Mullion Creek",500,0,8,0,0,0,0,0,0,0,43,557,
"Mulloon",120,0,0,0,0,0,0,0,0,0,26,145,
"Mullumbimby",3036,76,17,40,0,8,38,6,0,6,371,3595,
"Mullumbimby Creek",426,17,3,11,0,0,0,0,0,0,81,547,
"Mulwala",1960,7,6,0,3,10,0,0,0,0,176,2163,
"Mulyandry",56,5,0,0,0,0,0,0,0,0,8,66,
"Mumbil",245,0,6,0,0,0,0,0,0,0,35,289,
"Mumblebone Plain",27,0,0,0,0,0,0,0,0,0,0,27,
"Mumbulla Mountain",0,0,0,0,0,0,0,0,0,0,0,0,
"Mummel",103,0,0,0,0,0,0,0,0,0,9,116,
"Mummulgum",94,0,0,0,0,0,0,0,0,5,0,101,
"Mundamia",61,0,0,0,0,0,0,0,0,0,5,69,
"Mundarlo",75,0,0,0,0,0,0,0,0,0,0,81,
"Munderoo",39,0,0,0,0,0,0,0,0,0,6,42,
"Mundongo",189,0,0,0,0,0,0,0,0,0,9,207,
"Mungay Creek",121,0,0,0,0,0,0,0,0,0,21,143,
"Munghorn",0,0,0,0,0,0,0,0,0,0,0,0,
"Mungindi (NSW)",509,0,0,0,0,0,5,0,10,0,75,597,
"Mungo",0,0,0,0,0,0,0,0,0,0,0,0,
"Mungo Brush",0,0,0,0,0,0,0,0,0,0,0,0,
"Munni",30,0,0,0,0,0,0,0,0,0,8,41,
"Munyabla",47,0,0,0,0,0,0,0,0,0,0,47,
"Murga",61,0,0,0,0,0,0,0,0,0,0,61,
"Murrah",50,0,0,0,0,0,0,0,0,0,3,50,
"Murrami",229,0,0,0,0,0,0,0,0,0,9,237,
"Murrawombie",4,0,0,0,0,0,0,0,0,0,5,8,
"Murray Downs",233,0,0,0,0,0,0,0,0,0,36,271,
