Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SSC (UR)",
"Aarons Pass",0,0,0,0,7,8,0,0,0,3,5,20,
"Abbotsbury",94,35,502,360,577,1261,5,284,207,179,747,4251,
"Abbotsford (NSW)",395,120,1009,444,451,1160,0,313,215,437,830,5377,
"Abercrombie",26,20,141,75,204,250,0,51,33,38,278,1111,
"Abercrombie River",0,0,0,0,4,10,0,4,0,0,0,23,
"Aberdare",10,10,70,119,457,743,4,273,39,222,530,2471,
"Aberdeen (NSW)",8,14,60,72,384,568,3,247,51,228,451,2088,
"Aberfoyle",4,0,11,6,12,26,0,4,0,11,25,101,
"Aberglasslyn",70,48,356,385,1099,1319,8,330,108,244,1444,5403,
"Abermain",6,14,86,103,462,638,4,317,64,177,475,2336,
"Abernethy",0,0,7,19,69,52,0,27,6,78,87,345,
"Abington (NSW)",0,0,3,0,0,3,0,0,0,0,0,15,
"Acacia Creek",0,0,0,5,0,18,0,5,0,8,9,37,
"Acacia Gardens",227,55,647,298,418,862,0,146,112,132,897,3799,
"Adaminaby",0,0,14,25,59,80,0,41,11,37,36,305,
"Adamstown",218,101,845,471,918,1485,3,408,172,298,1127,6046,
"Adamstown Heights",241,103,879,446,702,1114,0,304,173,217,1107,5295,
"Adelong",10,5,35,48,171,268,0,105,19,100,182,944,
"Adjungbilly",0,0,5,4,17,15,0,5,0,12,25,86,
"Afterlee",0,0,4,0,10,16,0,10,0,9,6,47,
"Agnes Banks",14,8,56,53,159,229,0,88,26,60,218,911,
"Airds",10,3,28,93,231,912,9,421,74,374,778,2927,
"Akolele",7,5,0,3,17,37,0,17,4,45,34,168,
"Albert",0,0,6,3,12,16,0,4,4,16,23,82,
"Albion Park",156,117,801,929,2675,3479,12,991,395,820,2949,13319,
"Albion Park Rail",47,37,291,413,1371,1848,7,673,254,698,1284,6918,
"Albury",232,131,768,407,579,1022,0,258,139,519,752,4802,
"Aldavilla",7,0,45,40,157,189,3,64,23,600,102,1226,
"Alectown",4,0,9,19,13,48,0,21,7,20,25,170,
"Alexandria",972,265,2490,703,582,1386,3,123,172,688,872,8264,
"Alfords Point",121,54,450,290,420,817,0,159,146,134,523,3112,
"Alfredtown",5,0,14,8,23,11,0,4,4,13,29,109,
"Alice",0,0,0,0,0,7,0,0,0,0,0,6,
"Alison (Central Coast - NSW)",0,0,5,4,18,26,0,9,4,17,21,95,
"Alison (Dungog - NSW)",6,0,12,6,13,23,0,7,0,15,8,78,
"Allambie Heights",320,133,1095,615,798,1504,0,293,251,424,1570,7006,
"Allandale (NSW)",0,0,6,6,11,15,0,7,0,8,11,74,
"Allawah",478,64,1091,533,401,1491,3,268,211,311,847,5710,
"Alleena",0,0,4,0,4,15,0,9,4,11,13,56,
"Allgomera",0,0,11,10,25,39,0,11,4,8,21,132,
"Allworth",0,0,6,5,40,33,0,14,8,18,35,168,
"Allynbrook",0,6,10,7,9,16,0,7,0,4,5,67,
"Alma Park",3,0,5,5,6,9,0,4,0,5,20,55,
"Alpine",3,5,19,19,14,26,0,9,4,11,33,141,
"Alstonvale",10,10,66,39,63,100,0,25,17,31,73,441,
"Alstonville",137,109,678,491,862,1327,11,518,166,465,976,5738,
"Alumy Creek",0,0,3,8,18,17,0,10,4,7,17,90,
"Amaroo (NSW)",0,0,9,4,7,11,0,4,0,6,12,49,
"Ambarvale",85,38,375,436,1038,2180,14,593,243,664,1717,7378,
"Amosfield",0,0,3,4,11,5,0,5,0,3,6,35,
"Anabranch North",0,0,0,0,0,3,0,0,0,0,0,5,
"Anabranch South",0,0,7,0,0,16,0,3,0,5,7,36,
"Anambah",0,0,0,0,3,5,0,3,0,14,9,36,
"Ando",0,0,3,5,14,21,0,9,0,6,9,69,
"Anembo",0,0,3,8,9,12,0,0,0,15,15,67,
"Angledale",0,0,5,10,40,34,0,13,0,16,25,152,
"Angledool",0,0,4,0,9,14,0,6,0,20,3,55,
"Anglers Reach",3,0,8,6,15,11,0,10,8,28,9,90,
"Angourie",15,6,44,20,33,47,0,11,5,26,31,219,
"Anna Bay",28,40,222,271,778,990,4,333,85,491,599,3844,
"Annandale (NSW)",1154,297,2470,649,556,1555,4,266,190,746,1564,9452,
"Annangrove",38,14,160,123,240,369,0,85,59,76,244,1399,
"Appin (NSW)",33,27,182,187,544,614,0,166,65,143,677,2633,
"Apple Tree Flat",0,0,3,0,5,12,0,0,5,11,6,37,
"Appleby",0,0,0,0,8,7,0,9,0,5,11,39,
"Appletree Flat",0,0,0,0,0,0,0,5,0,0,5,13,
"Apsley (NSW)",0,0,8,17,6,27,0,11,3,11,19,108,
"Arable",0,0,0,0,4,5,0,4,0,5,0,13,
"Arakoon",12,3,50,57,93,89,0,31,16,31,35,419,
"Araluen (NSW)",3,7,23,16,24,35,0,12,3,35,15,168,
"Aratula (NSW)",0,0,0,0,0,0,0,0,0,0,7,9,
"Arcadia (NSW)",64,30,182,127,191,337,0,59,53,66,278,1384,
"Arcadia Vale",23,10,92,106,304,329,0,114,39,82,257,1375,
"Ardglen",0,0,5,0,7,9,0,8,0,12,15,60,
"Arding",7,4,26,26,27,43,0,13,8,18,35,206,
"Ardlethan",0,0,25,24,71,146,0,84,9,90,63,517,
"Argalong",0,0,0,0,4,15,0,0,5,0,10,31,
"Argenton",5,4,49,59,232,390,3,205,27,126,239,1347,
"Argents Hill",0,0,14,13,53,54,3,24,5,21,32,219,
"Argoon (NSW)",0,0,0,0,0,0,0,0,0,0,7,17,
"Ariah Park",0,6,41,26,64,124,0,59,10,49,110,492,
"Arkell",0,0,6,3,11,7,0,3,0,7,10,45,
"Arkstone",0,0,0,0,4,5,0,0,0,5,9,22,
"Armatree",0,0,15,4,16,33,0,17,3,22,39,152,
"Armidale",1608,511,2826,1389,2662,6026,20,1470,569,2129,4126,23348,
"Arncliffe",655,124,1737,768,837,2744,6,710,461,874,1687,10590,
"Arndell Park",0,0,0,0,10,4,0,0,0,12,0,32,
"Arrawarra",4,0,29,35,100,136,0,76,17,104,27,521,
