Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"Arrawarra Headland",13,18,79,35,68,152,0,39,26,41,94,553,
"Artarmon",1213,259,2520,696,399,1593,0,216,237,563,1832,9525,
"Arthurville",0,4,10,0,8,7,0,3,3,0,3,37,
"Arumpo",0,0,6,3,11,8,0,3,0,0,6,33,
"Ashbury",208,81,513,246,350,736,3,251,110,168,662,3326,
"Ashby (NSW)",17,11,17,28,66,69,0,30,21,39,29,329,
"Ashby Heights",3,0,14,22,52,59,0,18,6,25,37,229,
"Ashby Island",0,0,0,0,3,10,0,0,0,5,0,16,
"Ashcroft",21,8,111,118,281,1063,10,420,191,460,902,3581,
"Ashfield (NSW)",2400,474,5365,1902,1455,5253,8,1200,837,1996,2942,23839,
"Ashford (NSW)",4,0,19,28,98,179,0,97,11,111,98,647,
"Ashley",3,3,12,18,54,87,0,33,12,44,107,364,
"Ashmont",19,15,118,142,552,1085,4,511,108,394,875,3830,
"Ashtonfield",124,70,433,388,788,1074,3,290,105,242,1125,4647,
"Asquith",246,71,600,330,335,680,0,136,120,145,715,3378,
"Atholwood",0,0,0,7,17,15,0,12,3,8,15,81,
"Attunga",8,6,35,30,109,156,0,47,14,58,110,573,
"Auburn (NSW)",1752,236,4297,2259,1920,11014,35,3297,2578,2742,7246,37370,
"Auburn Vale",4,0,11,13,21,20,0,7,9,11,29,124,
"Austinmer",235,105,540,226,254,405,0,66,63,143,519,2560,
"Austral",32,8,151,143,404,775,0,429,167,419,497,3022,
"Austral Eden",3,0,8,3,25,46,0,17,6,16,27,146,
"Avalon Beach",489,220,1685,1021,1090,2239,0,305,333,557,1966,9908,
"Avisford",0,0,0,0,7,4,0,3,0,7,5,27,
"Avoca (NSW)",6,3,22,18,27,57,0,10,7,12,42,202,
"Avoca Beach",163,91,686,454,622,994,0,180,144,242,1006,4585,
"Avon (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"Avondale (NSW)",26,18,86,103,326,446,3,135,60,152,301,1654,
"Avonside",0,0,19,18,22,11,0,7,0,15,34,122,
"Awaba",4,0,31,28,68,118,0,39,11,18,89,400,
"Aylmerton",6,0,17,19,38,62,0,18,4,13,28,187,
"Baan Baa",0,0,8,12,25,51,0,18,3,22,32,163,
"Babinda (NSW)",0,0,0,0,0,0,0,3,0,0,0,3,
"Babyl Creek",0,0,0,0,0,8,0,0,0,0,3,6,
"Back Creek (Bland - NSW)",0,0,3,0,0,13,0,4,3,6,16,51,
"Back Creek (Gwydir - NSW)",0,0,0,0,0,4,0,0,0,0,0,12,
"Back Creek (Mid-Coast - NSW)",0,0,3,0,6,9,0,4,0,0,3,17,
"Back Creek (Queanbeyan-Palerang Regional - NSW)",4,0,0,0,0,0,0,0,0,0,0,12,
"Back Creek (Tenterfield - NSW)",0,0,0,0,5,0,0,0,0,0,0,12,
"Back Creek (Tweed - NSW)",0,0,4,0,4,0,0,0,0,3,0,14,
"Back Forest",6,0,19,3,12,15,0,6,4,6,12,83,
"Backmede",0,4,13,4,34,36,0,14,0,19,29,153,
"Backwater",0,0,4,3,5,0,0,4,0,3,0,13,
"Badgerys Creek",4,3,3,5,25,61,0,51,6,11,53,229,
"Badja",0,0,0,0,5,0,0,0,0,0,0,9,
"Baerami",0,0,4,3,7,16,0,3,0,15,12,69,
"Baerami Creek",0,0,0,0,4,14,0,5,0,17,10,53,
"Bagnoo",0,0,4,4,8,9,0,7,6,3,9,40,
"Bago",0,0,0,3,11,11,0,4,0,0,11,41,
"Bagotville",3,0,7,4,9,10,0,9,0,3,3,47,
"Bakers Creek (Mid-Coast - NSW)",0,0,3,0,4,12,0,5,0,0,5,35,
"Bakers Creek (Nambucca - NSW)",0,0,0,0,3,0,0,4,0,7,0,14,
"Bakers Creek (Uralla - NSW)",0,0,0,0,0,0,0,0,0,3,0,13,
"Bakers Swamp",3,0,10,5,3,9,0,0,3,5,5,50,
"Balaclava (NSW)",17,5,29,36,91,112,3,32,19,67,91,497,
"Balala",0,0,11,5,21,27,0,11,4,34,20,139,
"Balcolyn",23,10,85,83,177,224,0,72,31,60,187,961,
"Bald Blair",0,0,4,4,10,15,0,0,0,7,13,48,
"Bald Hills (NSW)",8,3,13,26,46,55,0,14,11,13,67,263,
"Bald Nob",0,0,0,5,0,9,0,0,0,0,0,12,
"Bald Ridge",0,0,0,0,0,0,0,0,0,0,0,7,
"Baldersleigh",4,0,3,5,3,14,0,0,0,9,5,54,
"Baldry",0,0,9,12,14,25,0,0,0,9,27,97,
"Balfours Peak",0,0,8,0,6,5,0,5,0,0,13,37,
"Balgowlah",586,203,1793,711,569,1416,0,186,273,503,1709,7963,
"Balgowlah Heights",305,90,799,232,123,565,0,105,80,135,901,3345,
"Balgownie",238,110,674,473,806,1250,3,436,204,337,994,5529,
"Balickera",0,0,0,0,4,7,0,0,0,0,7,25,
"Balladoran",0,0,3,11,17,34,0,19,0,3,16,109,
"Ballalaba",4,0,0,0,4,7,0,0,0,0,0,18,
"Balldale",0,0,15,5,17,37,0,13,0,32,33,159,
"Ballengarra",0,5,8,9,22,22,0,0,4,9,23,92,
"Ballimore",0,4,10,9,26,47,0,13,3,39,30,197,
"Ballina",125,78,614,588,1293,2259,4,1000,263,1416,1016,8648,
"Ballyroe",0,0,0,0,0,5,0,0,0,0,0,5,
"Balmain",1315,352,2629,785,544,1589,3,260,215,964,1792,10447,
"Balmain East",258,54,520,137,92,304,0,38,43,176,309,1937,
"Balmoral (Lake Macquarie - NSW)",14,5,75,69,167,169,0,50,27,24,121,723,
"Balmoral (Wingecarribee - NSW)",3,5,37,28,102,113,0,29,8,32,74,424,
"Balranald",13,9,56,53,146,389,3,212,25,175,256,1345,
"Bamarang",0,0,0,3,5,9,0,0,0,0,0,29,
"Banda Banda",0,0,0,0,0,0,0,0,0,0,0,0,
"Bandon Grove",0,0,5,14,16,23,0,8,6,13,18,119,
"Bangadang",0,0,0,0,5,0,0,0,0,0,4,11,
"Bangalee (NSW)",22,18,78,63,113,150,0,44,24,42,97,659,
"Bangalow",79,40,327,185,210,413,3,95,38,192,434,2021,
"Bangheet",0,0,4,6,4,11,0,0,0,6,11,40,
"Bango",4,0,3,3,11,37,0,6,0,9,8,99,
"Bangor (NSW)",207,104,749,510,866,1377,7,278,214,243,1014,5567,
"Banksia",151,39,448,249,322,939,0,246,133,272,595,3383,
"Banksmeadow",0,0,0,0,10,9,0,4,0,4,5,18,
"Bankstown",1201,201,3618,2123,2210,8982,22,2429,1481,2787,7060,32116,
"Bankstown Aerodrome",0,0,0,0,0,0,0,0,0,0,0,0,
"Bannaby",0,0,0,7,3,8,0,5,5,0,5,34,
"Bannister (NSW)",4,0,15,13,22,20,0,9,4,9,31,123,
"Banoon",0,0,3,0,5,0,0,3,0,3,0,26,
"Banora Point",188,168,1114,1214,2731,4880,14,1464,510,1445,2446,16169,
"Banyabba",0,0,0,0,3,21,0,11,0,4,7,45,
"Bar Beach",92,25,299,86,103,284,0,57,29,122,160,1258,
"Bar Point",0,0,15,5,14,8,0,4,4,7,9,66,
"Bara",0,0,0,5,0,9,0,0,0,0,6,30,
"Baradine",4,5,28,26,103,219,0,134,14,90,130,759,
"Barangaroo",18,3,37,7,4,16,0,0,3,76,21,190,
"Barcoongere",0,0,0,0,0,0,0,0,0,0,0,0,
"Barden Ridge",130,62,528,409,648,1172,0,207,167,165,838,4330,
"Bardia",117,14,270,104,160,337,3,32,26,84,451,1605,
"Bardwell Park",115,37,338,235,215,536,3,151,92,99,416,2235,
"Bardwell Valley",93,46,317,209,210,612,0,172,102,136,435,2326,
"Barellan",0,4,20,21,70,159,0,64,17,76,106,540,
"Bargo",49,36,215,317,868,1161,0,384,138,312,921,4393,
"Barham",12,12,80,88,215,425,0,216,36,221,212,1516,
"Barigan",0,0,0,3,0,3,0,0,0,0,0,5,
"Barkers Vale",5,0,23,15,24,41,0,6,0,13,38,164,
"Barmedman",0,0,18,24,54,121,0,53,4,66,108,457,
"Barneys Reef",0,0,0,0,0,0,0,0,0,0,0,0,
"Barnsley",8,8,51,102,409,512,3,159,45,92,355,1752,
"Barooga",8,11,118,115,286,507,0,175,42,223,328,1816,
"Barraba",5,14,69,53,198,371,0,257,33,216,198,1410,
"Barrack Heights",48,45,248,358,1043,1636,11,665,196,523,1134,5904,
"Barrack Point",11,7,66,58,135,138,0,56,17,75,126,691,
"Barraganyatti",0,3,13,8,23,37,0,13,5,14,16,133,
"Barragga Bay",6,4,12,8,16,21,0,4,5,11,10,95,
"Barratta (NSW)",0,0,0,0,0,0,0,0,0,0,0,5,
"Barren Grounds",0,0,0,0,0,0,0,0,0,0,0,0,
"Barrengarry",3,0,24,10,23,38,0,12,4,36,38,196,
"Barretts Creek",0,0,0,0,3,3,0,0,0,0,4,10,
"Barringella",0,0,0,6,3,3,0,0,0,0,6,25,
"Barrington (NSW)",0,6,38,25,60,98,0,37,13,41,44,358,
"Barrington Tops",0,0,0,0,0,0,0,0,0,0,0,0,
"Barry (Blayney - NSW)",0,7,7,9,26,51,0,11,6,17,34,167,
"Barry (Upper Hunter Shire - NSW)",0,0,0,0,0,3,0,0,0,3,0,4,
"Barwang",0,0,13,13,8,12,0,5,3,12,17,83,
"Barwon",0,0,0,0,5,9,0,8,0,0,8,31,
"Baryulgil",0,0,4,0,4,16,0,29,3,16,17,92,
"Basin View",8,12,74,114,299,379,5,168,50,158,288,1552,
"Bass Hill",171,54,672,586,934,2748,9,852,411,570,2068,9067,
"Bassendean (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"Batar Creek",3,0,16,6,7,12,0,3,3,17,13,81,
"Bateau Bay",188,115,1023,865,2020,3201,13,1025,372,1151,2174,12149,
"Batehaven",21,21,109,103,289,495,0,185,55,271,227,1780,
"Batemans Bay",9,14,53,69,211,442,0,197,47,293,197,1530,
"Bathampton",4,0,3,7,3,7,0,0,0,0,6,37,
"Bathurst",258,123,856,463,949,1931,9,514,195,732,898,6930,
"Batlow",12,13,92,80,193,363,0,160,31,180,194,1312,
"Baulkham Hills",2899,651,6491,3262,3590,7871,4,1480,1169,1619,8015,37053,
"Baw Baw (NSW)",12,3,24,28,53,52,0,15,8,27,40,258,
"Bawley Point",26,18,80,57,138,157,0,47,23,47,102,700,
"Baxters Ridge",0,0,0,0,0,0,0,0,0,0,0,0,
"Bayview (NSW)",194,48,593,385,333,916,0,135,148,380,488,3620,
"Beacon Hill",337,118,1160,672,855,1680,0,373,271,417,1570,7456,
"Beaconsfield (NSW)",88,30,248,90,71,220,0,25,15,71,122,991,
"Bean Creek",0,0,7,3,8,18,0,17,0,14,13,79,
"Bearbong",0,0,5,3,10,17,0,3,0,5,5,59,
"Beaumont (NSW)",8,5,26,11,11,20,0,3,3,28,15,127,
"Beaumont Hills",508,142,1581,795,786,2021,0,340,241,326,2304,9038,
"Beckom",0,4,9,4,15,32,0,8,3,18,34,129,
"Bective",0,3,20,17,38,59,0,12,8,16,29,210,
"Bectric",0,0,4,3,10,14,0,4,0,12,9,57,
"Bedgerabong",0,0,6,10,20,37,0,14,5,17,37,149,
"Beechwood",0,7,43,35,112,148,0,70,14,50,138,611,
"Beecroft",1089,238,2152,733,498,1796,6,278,268,524,1813,9395,
"Beecroft Peninsula",0,0,0,0,0,0,0,0,0,0,0,0,
"Beelbangera",3,0,22,17,82,111,0,48,12,42,75,406,
"Beemunnel",0,0,0,0,0,4,0,5,0,0,4,10,
"Bega",60,50,298,260,710,1253,8,521,88,509,913,4666,
"Beggan Beggan",0,0,14,12,15,15,0,3,4,7,30,99,
"Belanglo",0,0,4,0,0,10,0,4,0,4,3,21,
"Belbora",3,0,11,11,18,26,0,20,0,26,12,121,
"Belfield",191,59,758,487,612,1763,0,540,259,372,1270,6317,
"Belford",3,0,18,15,40,40,0,14,7,18,31,171,
"Belfrayden",0,0,0,6,4,8,0,0,0,5,6,30,
"Belgravia",5,4,21,8,24,26,0,4,0,0,30,118,
"Belimbla Park",13,4,38,46,129,143,0,31,20,41,120,583,
"Bell (NSW)",0,0,0,3,14,15,0,4,0,0,4,47,
"Bella Vista",678,144,1672,680,565,1868,0,257,248,306,1416,7834,
"Bellambi",66,34,256,280,609,1034,7,485,133,366,693,3948,
"Bellangry",0,4,3,9,19,35,0,10,0,13,13,94,
"Bellata",3,0,22,14,35,105,0,43,0,37,88,348,
"Bellawongarah",12,3,20,16,18,24,0,0,6,22,12,124,
"Bellbird",12,9,69,104,422,511,0,225,56,173,453,2031,
"Bellbird Heights",3,5,48,53,164,208,0,78,21,42,157,788,
"Bellbrook",7,3,22,21,38,67,0,44,3,25,48,280,
"Bellevue Hill",1099,215,2926,744,427,1988,0,245,264,869,1940,10719,
"Bellimbopinni",0,0,6,4,15,29,0,14,0,24,27,118,
"Bellingen",129,85,498,317,485,759,4,225,104,319,855,3776,
"Bellmount Forest",14,7,13,10,16,14,0,3,3,0,23,117,
"Belltrees",3,0,5,3,0,0,0,0,0,3,3,29,
"Belmont (NSW)",130,65,595,500,1274,1848,12,743,222,617,1120,7114,
"Belmont North",91,61,481,432,1224,1581,5,530,192,488,1251,6336,
"Belmont South",4,10,54,55,198,331,0,135,33,69,153,1052,
"Belmore",456,98,1370,894,1132,3601,8,1190,666,1051,2252,12713,
"Belmore River",0,0,14,14,56,64,0,33,3,26,47,269,
"Beloka",0,0,3,0,0,9,0,0,0,0,5,18,
"Belowra",0,0,0,4,4,0,0,4,0,0,0,8,
"Belrose",386,156,1338,878,838,2056,3,421,359,637,1705,8775,
"Bemboka",18,10,50,44,91,150,0,46,8,71,103,571,
"Ben Bullen",0,0,3,7,20,27,0,4,0,24,19,103,
"Ben Lomond (NSW)",5,0,14,11,13,43,0,16,8,23,21,147,
"Benandarah",0,3,7,3,27,49,0,8,3,42,19,168,
"Bendalong",3,0,9,11,19,19,0,3,3,12,15,90,
"Bendemeer",8,5,28,27,75,143,0,48,13,67,71,495,
"Bendick Murrell",3,0,7,12,28,47,0,13,0,21,29,159,
"Bendolba",3,0,8,13,25,59,0,20,0,22,57,205,
"Bendoura",0,0,6,5,10,3,0,0,3,6,13,66,
"Benerembah",4,0,17,4,11,22,0,3,0,21,47,134,
"Bengalla",0,0,0,0,4,10,0,0,0,6,0,25,
"Bennetts Green",0,0,0,0,3,4,0,0,0,0,0,10,
"Benolong",0,0,0,0,9,7,0,5,4,0,12,48,
"Bensville",58,48,266,231,457,614,0,130,80,107,555,2544,
"Bentley (NSW)",4,0,13,14,35,56,0,21,3,20,33,202,
"Berala",282,66,1168,591,653,2758,12,861,574,486,1599,9050,
"Berambing",6,3,17,7,22,18,0,0,3,9,21,104,
"Beresfield",30,12,121,151,583,990,5,414,89,235,556,3182,
"Bergalia",9,3,23,14,36,37,0,6,3,12,30,169,
"Berkeley",93,41,345,427,1195,2152,8,959,231,719,1447,7608,
"Berkeley Vale",90,78,536,615,1639,2197,8,649,238,584,1720,8353,
"Berkshire Park",13,0,45,58,219,325,4,136,25,1073,234,2138,
"Berlang",0,0,0,0,0,0,0,0,0,0,0,0,
"Bermagui",42,35,131,119,257,373,4,132,63,161,220,1536,
"Berowra",256,101,783,428,559,1041,0,163,167,194,1027,4722,
"Berowra Creek",0,0,3,0,3,3,0,6,0,0,6,16,
"Berowra Heights",250,123,794,505,729,1055,3,209,166,192,1227,5262,
"Berowra Waters",5,0,9,14,8,6,0,8,0,60,9,120,
"Berrambool",3,8,34,25,85,130,0,40,13,50,62,458,
"Berrara",4,5,24,29,74,69,0,19,18,29,37,300,
"Berremangra",0,0,11,3,14,20,0,3,0,8,13,84,
"Berrico",0,0,3,0,0,5,0,0,0,11,9,33,
"Berridale",23,27,75,75,253,293,3,87,37,101,228,1193,
"Berrigal",0,0,4,0,3,7,0,3,0,9,7,33,
"Berrigan",8,11,66,73,197,324,3,148,29,218,191,1263,
"Berrilee",9,5,30,27,32,67,0,7,8,9,33,227,
"Berrima",44,8,111,53,86,145,0,20,23,72,106,672,
"Berringer Lake",3,0,0,0,3,9,0,0,0,7,4,28,
"Berry",111,54,358,274,333,594,3,177,100,276,391,2666,
"Berry Jerry",0,0,6,3,3,22,0,6,0,15,17,77,
"Berry Mountain",3,0,4,4,3,0,0,0,0,4,0,23,
"Berry Park",5,4,17,8,31,36,0,5,3,12,20,127,
"Berthong",0,0,3,5,6,8,0,0,0,7,7,45,
"Beryl",0,0,10,3,18,29,0,16,0,17,32,130,
"Bethungra",0,0,13,11,27,47,3,20,3,19,19,162,
"Bevendale",0,0,8,3,10,3,0,4,0,4,4,43,
"Beverley Park",94,28,352,206,233,592,0,173,94,156,467,2397,
"Beverly Hills",479,118,1491,764,901,2850,0,750,440,658,1694,10154,
"Bewong",4,0,0,7,20,25,0,5,0,7,15,78,
"Bexhill",15,13,52,52,68,110,0,28,12,40,102,497,
"Bexley",863,176,2498,1461,1721,5142,3,1357,770,2163,3581,19729,
"Bexley North",171,50,614,329,357,1037,0,339,179,277,746,4093,
"Biala",5,0,3,4,11,15,0,3,3,3,12,57,
"Bibbenluke",0,0,13,3,4,17,0,8,0,19,12,86,
"Biddon",0,0,12,5,9,25,0,15,0,6,17,97,
"Bidgeemia",0,0,3,3,4,7,0,0,0,0,7,30,
"Bidwill (NSW)",22,4,92,134,309,1283,15,566,121,579,1162,4280,
"Bielsdown Hills",0,0,12,10,14,26,0,13,4,13,12,104,
"Big Hill (NSW)",0,0,4,0,14,7,0,7,3,3,7,48,
"Big Jacks Creek",0,0,9,0,10,10,0,9,4,5,10,53,
"Big Ridge",0,0,0,0,6,0,0,0,0,4,0,11,
"Big Springs",0,4,13,9,15,33,0,5,4,4,23,119,
"Bigga",5,0,14,6,27,70,0,30,6,54,36,243,
"Bilambil",10,3,30,29,73,114,0,28,14,36,73,418,
"Bilambil Heights",61,42,301,277,613,910,0,163,89,268,634,3365,
"Bilbul",4,4,26,17,101,151,4,55,14,56,137,556,
"Bilgola Beach",28,4,47,29,17,55,0,0,6,9,36,244,
"Bilgola Plateau",201,95,627,380,392,695,0,92,112,148,783,3516,
"Billeroy",0,0,4,3,4,7,0,3,0,0,7,42,
"Billilingra",0,0,0,0,0,4,0,0,0,5,5,9,
"Billimari",0,6,13,0,15,29,0,23,5,30,29,152,
"Billinudgel",4,3,13,16,22,68,0,15,9,31,38,215,
"Billys Creek",0,5,3,4,15,18,0,4,0,5,6,56,
"Billywillinga",9,3,14,18,32,42,0,11,6,19,44,194,
"Bilpin",14,8,51,56,130,155,0,28,27,73,123,666,
"Bimberi",0,0,0,0,0,0,0,0,0,0,0,0,
"Bimbi",0,0,12,6,12,24,0,8,3,24,26,116,
"Bimbimbie",0,3,3,5,26,28,0,7,5,13,23,120,
"Binalong",14,11,48,35,73,152,3,43,15,46,109,543,
"Binda",12,0,11,22,25,70,0,29,6,46,58,281,
"Bindera",3,0,4,6,0,3,0,3,3,16,0,30,
"Bingara",9,11,70,66,197,384,4,234,43,241,175,1427,
"Bingeebeebra Creek",0,0,0,0,9,5,0,5,0,7,7,34,
"Bingie",16,5,30,22,37,39,0,8,6,18,14,199,
"Bingleburra",0,0,6,0,3,6,0,5,0,0,3,26,
"Biniguy",0,0,16,0,17,42,0,15,0,24,29,148,
"Binjura",15,3,43,16,45,78,0,16,8,21,70,322,
"Binna Burra (NSW)",9,0,27,21,34,42,0,16,5,32,40,218,
"Binnaway",7,4,14,29,56,219,0,105,11,95,65,605,
"Binya",0,0,16,7,8,32,0,13,3,6,48,140,
"Birchgrove",462,102,903,229,117,460,0,64,59,252,632,3302,
"Birdwood (NSW)",3,0,0,0,10,9,0,9,0,7,7,43,
"Birganbigil",0,0,3,0,4,19,0,0,0,5,14,51,
"Birmingham Gardens",105,17,267,133,304,802,0,177,54,176,343,2374,
"Birriwa",0,0,0,4,6,12,0,7,0,17,8,54,
"Birrong",74,26,310,204,277,983,3,255,149,218,615,3104,
"Bishops Bridge",0,3,22,19,55,41,0,13,5,47,39,249,
"Bithramere",4,0,14,15,29,44,3,11,9,24,20,174,
"Black Creek (Port Macquarie-Hastings - NSW)",0,0,6,3,9,15,0,3,0,3,12,50,
"Black Creek (Snowy Valleys - NSW)",0,0,0,0,0,3,0,0,0,3,6,21,
"Black Head",20,16,105,95,153,207,4,61,39,80,75,853,
"Black Hill (NSW)",22,11,68,62,92,108,0,38,16,44,105,561,
"Black Hollow",0,0,5,0,0,5,0,6,0,0,7,19,
"Black Mountain (NSW)",12,8,36,32,26,76,0,18,0,28,66,308,
"Black Range (NSW)",4,6,12,10,27,46,0,8,8,20,58,202,
"Black Springs (NSW)",4,0,12,6,31,77,0,18,6,40,35,224,
"Blackalls Park",32,32,176,187,535,718,3,293,89,170,494,2756,
"Blackbutt (NSW)",63,27,242,237,613,938,0,278,128,207,577,3298,
"Blackett",11,10,96,106,322,1081,4,400,109,402,903,3446,
"Blackheath",292,119,712,434,541,916,8,214,153,338,684,4395,
"Blackmans Flat",0,0,0,0,8,0,0,0,0,4,8,26,
