Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by RELP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RELP - 1 Digit Level","Buddhism","Christianity","Hinduism","Islam","Judaism","Other Religions","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation","Inadequately described","Not stated","Total",
"Greenlands (Snowy Monaro Regional - NSW)",0,8,0,0,0,0,6,0,9,19,
"Greenleigh",6,431,6,3,0,3,195,0,43,684,
"Greenridge",0,95,0,0,0,0,31,0,29,151,
"Greenwell Point",0,805,0,0,0,7,287,7,104,1212,
"Greenwich",113,2691,173,51,46,29,1949,24,548,5615,
"Greenwich Park",0,65,0,0,0,0,23,0,23,115,
"Greg Greg",0,27,0,0,0,0,11,0,3,40,
"Gregadoo",0,183,0,0,0,0,31,0,21,243,
"Gregory Hills",70,3323,247,122,3,66,804,9,338,4987,
"Greigs Flat",0,104,0,0,0,0,36,0,11,151,
"Grenfell",8,1896,10,0,0,10,462,9,188,2569,
"Gresford",10,160,0,0,0,0,54,0,24,244,
"Greta (NSW)",17,1864,10,12,0,13,708,12,196,2829,
"Greta Main",0,49,0,0,0,0,11,0,5,67,
"Grevillia",0,48,0,0,0,0,22,0,9,76,
"Greystanes",302,16108,760,1305,13,248,2698,48,1312,22803,
"Griffith (NSW)",96,11807,463,498,0,690,2667,61,1913,18197,
"Grogan",0,80,0,0,0,0,6,0,0,88,
"Grong Grong",0,163,0,0,0,0,43,3,36,250,
"Grose Vale",7,864,0,9,0,7,274,12,92,1261,
"Grose Wold",0,431,0,0,0,0,135,0,61,636,
"Grosses Plain",0,16,0,0,0,0,15,0,4,35,
"Growee",0,5,0,0,0,0,3,0,0,10,
"Guerilla Bay",0,11,0,0,0,4,24,0,12,52,
"Guildford (NSW)",736,8807,545,7494,3,241,2306,48,2139,22327,
"Guildford West",98,2699,72,1095,4,47,540,21,343,4916,
"Gulargambone",0,337,0,0,0,0,147,0,107,589,
"Gulf Creek",0,32,0,0,0,0,6,0,9,54,
"Gulgong",14,1606,3,5,0,8,577,7,306,2523,
"Gulmarrad",7,1090,0,0,0,6,461,0,129,1693,
"Gum Flat",0,119,0,0,0,0,63,0,29,209,
"Gum Scrub",0,70,0,0,0,0,38,0,20,120,
"Gumbalie",0,3,0,0,0,0,0,0,0,6,
"Gumble",0,41,0,0,0,0,0,0,10,52,
"Gumly Gumly",0,212,0,0,0,0,63,0,32,309,
"Gumma",3,315,0,0,0,0,102,0,35,459,
"Gunbar",0,36,0,0,0,4,7,0,0,50,
"Gundagai",0,1346,6,0,0,10,183,0,129,1677,
"Gundamulda",0,14,0,0,0,0,3,0,0,17,
"Gundaroo",4,539,0,0,0,8,484,7,102,1144,
"Gundary",0,182,0,3,0,0,61,0,19,273,
"Gunderbooka",0,10,0,0,0,0,0,0,0,13,
"Gunderman",0,72,0,0,0,0,64,0,55,199,
"Gundy",4,116,0,0,0,0,50,0,38,205,
"Gungal",0,188,0,0,0,0,44,0,36,266,
"Gungalman",0,5,0,0,0,0,0,0,0,5,
"Gunnedah",35,6781,10,20,0,24,1993,25,836,9728,
"Gunning",3,434,0,0,0,0,173,5,45,656,
"Gunning Gap",0,68,0,0,0,0,4,0,6,79,
"Gunningbland",0,73,0,0,0,0,0,0,8,79,
"Gunningrah",0,0,0,0,0,0,0,0,0,0,
"Gurley",0,187,0,0,0,0,25,0,27,236,
"Gurnang",0,0,0,0,0,0,0,0,120,124,
"Gurranang",0,32,0,0,0,0,22,0,36,89,
"Gurrundah",0,44,0,0,0,0,14,0,4,58,
"Guyong",0,68,0,0,0,0,33,0,24,129,
"Guyra",11,1405,3,0,0,4,395,3,206,2025,
"Gwabegar",0,109,0,0,0,0,36,0,16,160,
"Gwandalan",29,2072,0,0,3,19,916,7,222,3274,
"Gwynneville",121,1319,77,332,0,7,1052,16,175,3102,
"Gymea",103,4881,48,44,12,16,1965,36,489,7587,
"Gymea Bay",42,4655,18,12,15,14,1742,24,374,6892,
"Haberfield",74,4123,49,34,35,27,1669,29,425,6453,
"Hacks Ferry",0,5,0,0,0,0,11,0,0,14,
"Halekulani",22,1703,0,0,0,10,607,15,177,2538,
"Halfway Creek",0,127,0,0,0,4,76,0,41,256,
"Hallidays Point",7,346,0,0,0,0,143,0,23,519,
"Halloran",0,27,0,0,0,0,3,0,5,40,
"Halls Creek (NSW)",0,95,0,0,0,0,18,0,16,131,
"Hallsville",0,434,0,0,0,0,57,0,38,533,
"Halton",0,11,0,0,0,0,8,0,0,20,
"Hambledon Hill",0,10,0,0,0,0,3,0,0,14,
"Hamilton (NSW)",61,2097,37,14,6,20,1659,26,307,4230,
"Hamilton East",6,552,0,3,0,0,354,5,68,984,
"Hamilton North",10,429,5,0,0,7,356,9,58,869,
"Hamilton South",27,2220,12,18,0,13,1215,17,358,3875,
"Hamilton Valley",0,350,0,5,0,0,145,6,59,564,
"Hamlyn Terrace",32,4153,20,37,5,34,1419,51,317,6068,
"Hammondville",55,2359,89,160,4,21,602,5,204,3495,
"Hampden Hall",0,35,0,0,0,0,10,0,14,62,
"Hampton (NSW)",0,63,0,0,0,0,23,0,16,106,
"Hanging Rock",0,54,0,0,0,0,30,0,32,107,
"Hanleys Creek",0,3,0,0,0,0,0,0,0,3,
"Hannam Vale",0,90,0,0,0,0,78,0,15,182,
"Hanwood",11,890,13,7,0,49,155,6,126,1258,
"Harden",8,1585,9,5,0,9,275,10,132,2031,
"Hardys Bay",5,94,0,0,0,0,85,0,40,232,
"Harefield",0,129,0,0,0,0,6,0,6,143,
"Hargraves",0,190,0,0,0,0,53,0,27,270,
"Harolds Cross",0,17,0,0,0,0,27,0,9,55,
"Harparary",4,22,0,0,0,0,15,0,6,47,
"Harpers Hill",0,43,0,0,0,0,7,0,6,56,
"Harrington",18,2077,0,3,0,3,688,4,233,3036,
"Harrington Park",139,7721,135,320,4,39,1752,18,532,10664,
"Harris Park",117,1164,2590,374,3,346,582,19,608,5801,
"Hartley (NSW)",0,264,0,0,0,4,109,0,35,411,
"Hartley Vale",0,35,6,0,0,0,11,0,15,68,
"Hartwood",0,15,0,0,0,0,0,0,6,21,
"Hartys Plains",0,24,0,0,0,0,4,0,6,33,
"Harwood",0,192,0,0,0,0,59,4,35,292,
"Hassall Grove",46,2883,253,364,0,48,641,5,276,4512,
"Hassans Walls",0,0,0,0,0,0,0,0,0,0,
"Hastings Point",17,408,3,0,0,0,164,5,58,651,
"Hat Head",4,186,0,0,0,0,88,6,20,307,
"Hatfield",0,4,0,0,0,0,7,0,0,17,
"Havilah (NSW)",0,18,0,0,0,0,4,0,3,21,
"Hawkesbury Heights",0,269,0,0,4,0,152,3,24,453,
"Hawks Nest",10,786,4,3,3,0,321,3,90,1216,
"Hay (NSW)",6,1634,11,4,0,15,422,9,311,2405,
"Hay South",0,266,0,0,0,0,52,0,37,357,
"Hayes Gap",0,10,0,0,0,0,0,0,4,16,
"Haymarket",2240,1202,116,116,6,21,2457,25,1178,7354,
"Haystack",0,8,0,0,0,0,0,0,0,8,
"Hayters Hill",0,7,0,0,0,0,12,0,7,23,
"Haywards Bay",5,710,6,16,0,6,213,4,41,1007,
"Hazelbrook",61,2480,13,15,13,32,1959,47,357,4976,
"Hazelgrove",0,44,0,0,0,0,30,0,18,89,
"Heathcote (NSW)",32,4115,3,9,4,13,1565,24,252,6013,
"Heatherbrae",3,322,0,9,0,4,108,0,59,508,
"Hebden",0,29,0,0,0,0,8,0,10,40,
"Hebersham",34,3176,215,650,0,29,1030,22,528,5686,
"Heckenberg",395,1245,64,584,0,64,406,6,332,3093,
"Heddon Greta",10,1378,0,5,5,16,535,7,93,2044,
"Heifer Station",0,5,0,0,0,0,0,0,0,5,
"Helensburgh",42,3922,26,3,0,17,1877,33,453,6379,
"Henley",13,266,8,5,0,3,121,0,52,472,
"Henty (NSW)",3,925,0,8,0,4,221,3,78,1240,
"Hereford Hall",0,14,0,0,0,0,7,0,0,22,
"Hermidale",0,95,0,0,0,0,15,0,24,138,
"Hermitage Flat",6,203,0,0,0,0,98,3,44,344,
"Hernani",0,78,0,0,0,0,32,0,17,129,
"Herons Creek",0,168,0,0,0,0,60,0,15,251,
"Hexham (NSW)",0,77,0,7,0,0,31,0,11,128,
"Hickeys Creek",3,61,0,0,0,0,50,0,12,129,
"High Range",5,257,0,0,0,3,100,4,28,397,
"Higher Macdonald",0,8,0,0,0,0,0,0,0,10,
"Highfields (NSW)",6,528,5,7,0,3,265,0,22,834,
"Hill End (NSW)",0,54,0,0,0,0,35,0,11,107,
"Hill Top (Snowy Monaro Regional - NSW)",0,21,0,0,0,0,53,0,8,84,
"Hill Top (Wingecarribee - NSW)",8,1769,5,8,6,3,693,7,178,2672,
"Hilldale",0,134,0,0,0,0,41,0,22,197,
"Hillgrove (Armidale Regional - NSW)",0,113,0,0,0,0,47,0,9,172,
"Hillgrove (Wagga Wagga - NSW)",0,10,0,0,0,0,6,0,5,26,
"Hillsborough (Lake Macquarie - NSW)",0,405,0,0,0,0,187,0,52,656,
"Hillsborough (Maitland - NSW)",0,24,0,0,0,0,11,6,0,41,
"Hillsdale",175,2595,187,640,62,38,1156,24,619,5505,
"Hillston",13,994,28,0,4,13,257,3,156,1464,
"Hillville",5,213,0,0,0,0,74,0,24,313,
"Hillvue",31,4794,15,8,0,9,1109,13,413,6393,
"Hinchinbrook (NSW)",1073,6309,498,1279,0,281,1125,45,615,11222,
"Hinton",0,342,0,0,0,0,72,6,36,450,
"Hobartville (NSW)",28,1767,0,7,3,8,730,18,182,2744,
"Hobbys Yards",3,44,0,0,0,0,28,0,13,81,
"Hogarth Range",0,21,0,0,0,0,21,0,4,46,
"Holbrook",7,1197,4,0,0,4,353,0,149,1715,
"Holgate",9,542,4,0,3,0,338,3,71,968,
"Hollisdale",0,16,0,0,0,0,23,0,7,51,
"Hollydeen",0,35,0,0,0,0,13,0,11,65,
"Holmesville",7,875,0,0,0,9,373,8,97,1367,
"Holroyd",48,385,127,349,0,44,229,0,103,1277,
"Holsworthy",156,2753,595,232,0,32,1243,32,441,5481,
"Holts Flat",0,3,0,0,0,0,0,0,0,3,
"Home Rule",0,37,0,0,0,0,12,0,6,53,
"Homebush (NSW)",340,2322,1648,254,4,77,1713,26,621,7004,
"Homebush West",625,1954,2100,343,7,141,2243,18,1176,8609,
"Homeleigh",0,54,0,0,0,0,39,0,17,112,
"Honeybugle",0,18,0,0,0,0,4,0,4,28,
"Hopefield",0,45,0,0,0,0,17,0,21,82,
"Hopkins Creek",0,47,5,0,0,0,51,0,9,111,
"Horningsea Park",189,2240,165,423,0,71,422,11,214,3731,
"Hornsby",950,9301,1696,539,67,284,7475,90,1770,22167,
"Hornsby Heights",103,3583,106,57,31,49,1987,30,366,6309,
"Horse Station Creek",7,50,0,0,0,0,36,0,7,102,
"Horseshoe Bend",3,204,0,0,3,0,128,0,39,380,
"Horseshoe Creek",0,58,0,0,0,0,22,0,0,90,
"Horsfield Bay",8,256,0,0,0,9,209,10,56,544,
"Horsley",51,5537,39,52,0,25,2074,18,431,8226,
"Horsley Park",44,1462,21,25,0,11,110,0,169,1837,
"Hoskinstown",0,91,0,0,0,0,61,4,34,190,
"Hovells Creek",0,19,0,0,0,0,12,0,8,38,
"Howards Grass",0,43,0,0,0,5,15,0,8,72,
"Howell",0,23,0,0,0,0,8,0,0,34,
"Howes Valley",0,37,0,0,0,0,33,0,61,124,
"Howick (NSW)",0,0,0,0,0,0,0,0,0,0,
"Howlong",6,1692,0,0,5,6,754,10,302,2771,
"Hoxton Park",336,2438,328,421,3,83,406,10,327,4357,
"Humula",0,97,0,0,0,0,14,0,6,123,
"Hungerford (NSW)",0,6,0,0,0,0,0,0,8,14,
"Hunters Hill",133,5942,71,57,294,36,2242,57,703,9529,
"Hunterview",22,2017,11,14,0,3,708,5,228,3005,
"Huntingdon",0,69,0,0,0,0,11,0,10,89,
"Huntingwood",0,0,0,0,0,0,0,0,0,0,
"Huntley (Orange - NSW)",0,111,0,0,0,0,30,0,7,153,
"Huntley (Wollongong - NSW)",3,41,0,0,0,0,11,0,0,50,
"Huntleys Cove",20,480,4,0,4,4,170,3,64,748,
"Huntleys Point",3,92,0,0,0,0,29,0,10,146,
"Huonbrook",0,14,0,0,3,0,74,0,51,148,
"Hurlstone Park",177,2433,90,94,12,8,1440,18,407,4694,
"Hurstville",2424,8715,2446,1072,21,86,12814,84,2164,29827,
"Hurstville Grove",99,1638,34,60,3,9,647,19,154,2666,
"Huskisson",0,417,0,0,0,0,270,4,86,784,
"Hyams Beach",0,71,0,0,0,0,38,0,9,111,
"Hyland Park",5,225,0,0,0,0,150,3,41,426,
"Hyndmans Creek",0,29,0,0,0,0,21,0,3,58,
"Ilarwill",0,141,0,0,0,0,53,0,18,220,
"Ilford",0,100,0,0,0,0,42,0,42,189,
"Illabo",0,111,0,0,0,0,21,0,7,147,
"Illaroo",0,16,0,0,0,0,16,0,0,32,
"Illawong",82,5323,54,206,8,4,1275,19,299,7272,
"Iluka (NSW)",3,1115,0,0,0,3,428,15,155,1719,
"Indi",0,27,0,0,0,0,5,0,3,37,
"Ingebirah",0,31,0,0,0,0,46,0,10,96,
"Ingleburn",310,8162,1054,1450,0,283,2520,47,1212,15038,
"Ingleside",13,574,0,6,0,19,259,0,104,972,
"Innes View",0,16,0,0,0,0,10,0,4,32,
"Inverell",58,8135,6,17,0,31,2385,31,1000,11660,
"Invergordon (NSW)",0,16,0,0,0,0,13,0,7,32,
"Invergowrie",9,435,0,0,0,0,256,3,68,776,
"Iron Pot Creek",0,15,0,0,0,0,4,0,0,27,
"Ironbark (NSW)",0,21,0,0,0,0,5,0,0,26,
"Ironmungy",0,5,0,0,0,0,0,0,0,8,
"Irvington",0,58,0,0,0,0,18,0,4,80,
"Irymple (NSW)",0,6,0,0,0,0,6,0,0,9,
"Isabella",0,24,0,0,0,0,8,0,0,28,
"Islington",31,658,11,24,6,7,955,19,178,1883,
"Ivanhoe (NSW)",0,167,0,0,0,0,47,0,114,326,
"Jackadgery",0,58,0,0,0,0,18,0,8,95,
"Jacks Creek",0,83,0,0,0,0,43,0,12,130,
"Jacksons Flat",0,8,0,0,0,0,0,0,3,12,
"Jacky Bulbin Flat",0,8,0,0,0,0,9,0,3,23,
"Jagumba",0,0,0,0,0,0,0,0,0,0,
"Jagungal Wilderness",0,0,0,0,0,0,0,0,0,0,
"Jamberoo",12,1020,5,0,0,6,443,4,146,1635,
"James Creek",0,138,0,0,0,0,51,0,27,213,
"Jamisontown",47,3515,47,60,0,48,1335,22,423,5498,
"Jannali",76,3871,49,30,6,39,1701,18,404,6185,
"Jaspers Brush",5,209,0,0,0,0,108,0,41,357,
"Jaunter",0,12,0,0,0,0,4,0,0,8,
"Jeir",0,142,0,0,0,0,89,0,32,254,
"Jellat Jellat",0,34,0,0,0,0,38,0,11,80,
"Jemalong",0,41,0,0,0,0,15,0,16,76,
"Jembaicumbene",0,19,0,0,0,0,13,0,9,39,
"Jennings",0,94,0,0,0,0,43,0,13,153,
"Jenolan",0,7,0,0,0,0,3,0,7,23,
"Jeogla",0,24,0,0,0,0,13,0,3,40,
"Jerangle",0,63,0,0,0,0,28,0,3,97,
"Jeremadra",0,95,0,0,0,0,66,0,7,169,
"Jeremy",0,3,0,0,0,0,0,0,0,3,
"Jerilderie",0,706,10,6,0,0,164,6,132,1031,
"Jerrabattgulla",0,11,0,0,0,0,4,0,0,13,
"Jerrabomberra",77,6090,72,64,10,43,2593,36,513,9508,
"Jerrara",0,93,0,0,0,0,33,0,30,155,
"Jerrawa",0,54,0,0,0,0,12,0,5,74,
"Jerrawangala",3,32,0,0,0,0,22,0,13,70,
"Jerrong",0,4,0,0,0,0,6,0,3,15,
"Jerrys Plains",0,252,0,0,0,5,75,0,50,386,
"Jerseyville",0,78,0,0,0,0,30,0,10,115,
"Jesmond",117,1305,35,476,0,16,870,18,200,3050,
"Jewells",19,1549,0,11,0,0,710,3,114,2406,
"Jews Lagoon",0,0,0,0,0,0,0,0,0,0,
"Jiggi",11,157,0,0,0,3,162,4,53,391,
"Jilliby",3,1096,0,0,3,0,384,11,141,1644,
"Jimenbuen",0,14,0,0,0,0,15,0,6,34,
"Jincumbilly",0,0,0,0,0,0,3,0,0,3,
"Jindabyne",34,1167,4,8,0,12,1061,48,294,2631,
"Jinden",0,5,0,0,0,0,4,0,7,18,
"Jindera",6,1521,0,0,0,6,519,7,160,2222,
"Jingellic",0,29,0,0,0,0,21,0,9,59,
"Jingera",0,17,0,0,0,0,13,0,10,36,
"Joadja",0,72,0,0,0,0,35,0,13,124,
"Joes Box",0,11,0,0,0,0,4,0,0,12,
"Johns River",0,191,0,3,0,4,62,0,74,329,
"Jolly Nose",0,0,0,0,0,0,0,0,0,0,
"Jones Bridge",0,16,0,0,0,0,3,0,5,26,
"Jones Creek",0,81,0,0,0,0,20,0,9,111,
"Jones Island",0,54,0,0,0,0,8,0,8,62,
"Jordan Springs",102,2796,405,136,0,116,1250,30,328,5160,
"Judds Creek",0,10,0,0,0,0,4,0,0,19,
"Jugiong",0,174,0,0,0,0,21,0,18,219,
"Junction Hill",11,1008,5,0,0,4,279,4,61,1373,
"Junee",14,2784,6,5,4,7,796,12,1284,4918,
"Junee Reefs",0,69,0,0,0,0,3,0,15,87,
"Kahibah",21,1373,0,6,0,14,914,5,130,2469,
"Kains Flat",0,111,0,0,0,0,44,0,10,168,
"Kalang",8,37,0,0,0,0,166,8,39,262,
"Kalaru",4,347,0,0,0,4,260,0,92,712,
"Kalkite",5,110,0,0,0,0,77,4,15,215,
"Kamarah",0,66,0,0,0,0,14,0,11,94,
"Kameruka",0,60,0,0,0,0,49,0,8,119,
"Kanahooka",28,3928,14,10,0,6,1262,14,312,5577,
"Kanangra",0,0,0,0,0,0,0,0,0,0,
"Kandos",14,806,3,3,0,4,309,4,177,1317,
"Kangaloon",0,75,0,0,0,5,46,0,16,154,
"Kangaroo Creek",0,68,0,0,0,0,26,0,9,107,
"Kangaroo Point (NSW)",9,381,0,23,0,0,123,0,23,561,
"Kangaroo Valley",15,425,0,0,4,0,318,0,109,877,
"Kangaroobie",0,33,0,0,0,0,6,0,0,41,
"Kangiara",0,35,0,0,0,0,8,0,8,52,
"Kangy Angy",0,211,3,0,0,0,61,0,39,307,
"Kanimbla (NSW)",0,58,0,0,0,0,51,0,15,126,
"Kanoona",0,83,0,0,0,0,51,0,9,139,
"Kanwal",38,2593,7,15,0,13,991,12,430,4095,
"Kapooka",6,285,4,0,0,6,203,6,118,629,
"Kaputar",0,0,0,0,0,0,0,0,0,4,
"Karaak Flat",0,27,0,0,0,0,9,0,6,46,
"Karabar",86,5302,52,59,0,64,2022,36,625,8241,
"Karangi",12,277,0,0,0,0,220,0,74,583,
"Kareela",42,2334,26,25,4,0,846,7,175,3455,
"Kariong",88,3673,51,32,8,17,1977,21,525,6381,
"Kars Springs",0,23,0,0,0,0,8,0,0,34,
"Karuah",11,874,0,0,0,13,351,3,159,1411,
"Katoomba",243,2958,46,26,21,84,3629,69,876,7959,
"Kayuga",0,36,0,0,0,0,20,0,4,56,
"Kearns",26,1804,32,167,4,27,554,9,124,2745,
"Kearsley",4,516,0,0,0,0,258,0,78,861,
"Keepit",0,8,0,0,0,0,0,0,0,11,
"Keera",0,42,0,0,0,0,0,0,5,55,
"Keerrong",5,65,0,0,0,9,53,0,28,155,
"Keinbah",0,87,0,0,0,0,31,0,0,121,
"Keiraville",79,1688,61,139,4,14,1344,24,214,3572,
"Keith Hall",0,72,0,0,0,0,56,0,43,165,
"Kellys Plains",0,133,0,0,0,0,23,0,4,160,
"Kellyville",835,17284,1472,943,47,607,5175,68,1549,27973,
"Kellyville Ridge",230,5759,957,609,9,542,1648,15,706,10470,
"Kelso (NSW)",54,6129,39,56,0,64,1930,35,673,8975,
"Kelvin",0,121,0,0,0,0,38,0,15,178,
"Kembla Grange",4,172,0,0,0,0,55,0,17,256,
"Kembla Heights",3,49,0,0,0,0,59,0,11,122,
"Kemps Creek",67,1475,10,122,0,18,301,21,253,2271,
"Kempsey",0,275,0,0,0,5,134,0,66,477,
"Kendall",3,640,0,0,0,8,350,0,141,1141,
"Kenebri",0,27,0,0,0,0,7,0,4,43,
"Kennaicle Creek",0,3,0,0,0,0,0,0,0,4,
"Kensington (NSW)",721,5818,328,502,344,70,5592,60,1569,15002,
"Kenthurst",41,3643,21,38,9,31,970,9,273,5040,
"Kentlyn",22,499,9,61,0,5,118,5,38,745,
"Kentucky",0,111,0,0,0,0,26,0,15,158,
"Kentucky South",0,78,0,0,0,0,31,0,12,119,
"Kerewong",0,9,0,0,0,0,0,0,0,9,
"Keri Keri",0,7,0,0,0,0,0,0,0,7,
"Kerrabee",0,3,0,0,0,0,7,0,3,13,
"Kerrigundi",0,11,0,0,0,0,0,0,0,14,
"Kerrs Creek",0,21,0,0,0,3,14,0,7,42,
"Kew (NSW)",4,703,0,0,0,0,257,0,124,1088,
"Keybarbin",0,6,0,0,0,0,0,0,0,6,
"Khancoban",0,162,3,0,0,0,100,0,31,298,
"Khatambuhl",0,0,0,0,0,0,0,0,0,5,
"Kia Ora (NSW)",0,25,0,0,0,0,0,0,0,27,
"Kiacatoo",0,20,0,0,0,0,0,0,5,28,
"Kiah",0,60,0,0,0,0,56,0,26,149,
"Kiama",68,4179,10,9,7,19,2015,31,540,6885,
"Kiama Downs",27,3101,8,4,8,3,1510,7,321,5007,
"Kiama Heights",4,515,0,0,0,0,216,5,72,814,
"Kianga (NSW)",5,470,0,0,3,6,194,0,93,777,
"Kiar",0,27,0,0,0,0,0,0,4,36,
"Kickabil",0,42,0,0,0,0,4,0,3,51,
"Kielvale",0,170,6,0,0,0,62,0,24,254,
"Kikiamah",0,73,0,0,0,0,13,4,13,96,
"Kikoira",0,43,0,0,0,0,16,0,0,63,
"Kilaben Bay",10,910,0,0,0,3,392,8,114,1432,
"Kilgin",0,31,0,0,0,0,9,0,7,47,
"Kilgra",0,52,0,0,0,0,15,0,5,80,
"Killabakh",0,145,0,0,0,0,105,0,18,271,
"Killara (NSW)",386,4978,232,87,210,73,3796,27,794,10576,
"Killarney Heights",82,2389,19,14,32,33,1624,23,255,4465,
"Killarney Vale",51,4597,6,9,4,12,1929,21,593,7216,
"Killawarra (NSW)",0,125,0,0,0,0,28,0,19,170,
"Killcare",10,240,0,0,0,6,171,5,52,478,
"Killcare Heights",6,379,0,0,0,0,313,11,35,744,
"Killiekrankie",0,0,0,0,0,0,0,0,0,0,
"Killimicat",0,18,0,0,0,0,10,0,3,28,
"Killingworth (NSW)",0,430,0,0,0,4,206,9,38,678,
"Killongbutta",0,14,0,0,0,0,11,0,0,29,
"Kimbriki",0,82,0,0,0,0,27,0,15,128,
"Kinchela",0,186,0,0,0,0,63,0,18,262,
"Kincumber",62,4632,24,19,9,19,1887,22,409,7093,
"Kincumber South",5,505,0,0,0,0,127,0,51,688,
"Kindee",0,55,0,0,0,0,28,0,9,96,
"Kindervale",0,6,0,0,0,0,5,0,5,19,
"King Creek",8,1103,0,0,0,3,294,0,165,1572,
"Kingfisher Shores",0,104,0,0,0,0,54,0,10,165,
"Kinghorne",0,0,0,0,0,0,0,0,0,0,
"Kings Forest",0,17,0,0,0,0,24,0,0,39,
"Kings Langley",123,6278,264,137,17,75,1923,33,499,9353,
"Kings Park (NSW)",37,2214,59,81,0,78,747,20,214,3453,
"Kings Plains (Blayney - NSW)",0,91,0,0,0,0,17,0,10,115,
"Kings Plains (Inverell - NSW)",0,6,0,0,0,0,6,0,4,10,
"Kings Point",8,322,0,0,0,4,193,4,27,555,
"Kingscliff",85,4386,14,0,0,17,2204,38,715,7464,
"Kingsdale",0,129,0,0,0,0,27,0,20,174,
"Kingsford (NSW)",791,5940,275,548,433,49,6095,52,1293,15484,
"Kingsgate",0,0,0,0,0,0,0,0,3,6,
"Kingsgrove",517,7914,72,705,16,50,2263,20,894,12450,
"Kingsland",0,36,0,0,0,0,5,0,0,40,
"Kingstown",0,67,0,0,0,0,19,0,12,96,
"Kingsvale",0,125,0,7,0,0,21,0,18,179,
"Kingswood (Bega Valley - NSW)",0,3,0,0,0,0,5,0,0,10,
"Kingswood (Penrith - NSW)",123,5164,351,226,4,270,2236,37,885,9301,
"Kingswood (Tamworth Regional - NSW)",0,702,0,0,0,0,209,0,120,1032,
"Kioloa",5,150,0,0,0,4,80,5,16,261,
"Kiora",0,26,0,0,0,0,18,0,8,56,
"Kippara",0,0,0,0,0,0,0,0,0,0,
"Kippaxs",0,8,0,0,0,0,3,0,11,22,
"Kippenduff",0,14,0,0,0,0,17,0,3,37,
"Kirkconnell",0,31,0,0,0,0,8,0,239,285,
"Kirkham",0,546,0,3,0,0,86,4,50,695,
"Kirrawee",115,6031,51,35,13,34,2368,51,581,9282,
"Kirribilli",73,1631,65,19,29,21,1454,18,509,3818,
"Kitchener",3,303,0,0,0,4,136,0,27,481,
"Kiwarrak",0,0,0,0,0,0,0,0,0,0,
"Klori",0,31,0,0,0,0,14,0,6,49,
"Knights Hill",0,23,0,0,0,0,17,0,3,41,
"Knockrow",0,103,0,0,6,5,65,0,21,192,
"Knorrit Flat",0,13,0,0,0,0,15,0,0,30,
"Knorrit Forest",0,0,0,0,0,0,0,0,0,0,
"Kogarah",820,6295,2365,1144,14,94,3193,37,1163,15120,
"Kogarah Bay",46,1417,23,79,0,8,280,3,156,2021,
"Kooba",0,52,0,0,0,0,7,0,19,74,
"Kookabookra",0,10,0,0,0,0,0,0,0,10,
"Koolewong",18,537,0,0,0,11,243,6,53,867,
"Koolkhan",0,13,0,0,0,0,17,0,5,36,
"Koonawarra",17,2286,4,4,0,18,1100,13,225,3669,
"Koonorigan",7,153,0,0,0,0,118,0,19,303,
"Koonyum Range",0,4,0,0,0,0,10,0,4,16,
"Kooragang",0,0,0,0,0,0,0,0,0,0,
"Koorainghat",0,129,0,0,0,0,45,0,11,193,
"Koorawatha",0,299,0,0,0,0,59,0,68,429,
"Kooringal (NSW)",57,4703,61,88,0,29,1777,31,487,7231,
"Kootingal",11,1564,0,3,0,6,406,17,120,2126,
"Koraleigh",0,177,0,0,0,0,123,3,47,354,
"Koreelah",0,57,0,0,0,0,15,0,5,72,
"Korora",25,1324,0,12,5,29,832,13,258,2487,
"Kosciuszko",0,0,0,0,0,0,0,0,0,0,
"Kosciuszko National Park",12,165,0,3,4,5,220,10,157,572,
"Kotara",50,2291,21,3,3,10,1339,16,202,3928,
"Kotara South",8,654,3,0,0,6,348,4,77,1103,
"Krambach",5,201,0,0,0,0,120,0,52,379,
"Krawarree",5,28,0,0,0,0,17,0,0,43,
"Kremnos",0,77,0,0,0,0,73,0,22,169,
"Ku-Ring-Gai Chase",0,3,0,0,0,0,3,0,3,3,
"Kulnura",0,373,0,3,0,0,173,0,51,607,
"Kulwin (NSW)",0,8,0,0,0,0,0,0,0,11,
"Kunama",0,38,0,0,0,0,20,4,10,69,
"Kundabung",3,309,0,0,0,4,211,9,96,629,
"Kundibakh",0,39,0,0,0,0,22,0,14,76,
"Kundle Kundle",0,135,0,0,0,0,44,0,10,192,
"Kungala",7,72,0,0,0,0,46,0,19,145,
"Kunghur",4,36,0,0,0,0,50,4,11,104,
"Kunghur Creek",0,16,0,0,0,0,24,0,8,46,
"Kurmond",3,550,12,0,0,0,221,3,60,851,
"Kurnell",21,1459,0,7,0,0,633,15,131,2269,
"Kurraba Point",24,783,9,3,15,10,504,10,162,1525,
"Kurrajong",22,2038,0,0,3,13,745,8,228,3059,
"Kurrajong Heights",3,731,0,8,0,8,437,5,137,1340,
"Kurrajong Hills",4,426,0,4,6,0,165,0,56,667,
"Kurri Kurri",26,3723,4,0,0,25,1675,24,559,6046,
